benchmark,selected
BV/2017-Preiner-keymaera/intersection-example-simple.proof-node295273.smt2,cvc5
BV/2017-Preiner-keymaera/intersection-example-simple.proof-node605043.smt2,cvc5
BV/20190429-UltimateAutomizerSvcomp2019/jain_7_true-unreach-call_true-no-overflow_false-termination.i_7.smt2,YicesQS
BV/2017-Preiner-psyco/148.smt2,Z3-alpha
BV/2017-Preiner-keymaera/intersection-example-simple.proof-node489032.smt2,cvc5
BV/20230321-UltimateAutomizerSvcomp2023/soft_float_4-1.c.cil.c_8.smt2,cvc5
BV/wintersteiger/fmsd13/ranking/kmdf_pcidrv_sys_hw_nic_init.c.smt2,cvc5
BV/2020-Preiner-fmcad20/cons/check_cc_bvashr_x_s_32.smt2,Bitwuzla
BV/2017-Preiner-keymaera/intersection-example-simple.proof-node532026.smt2,cvc5
BV/2017-Preiner-keymaera/intersection-example-simple.proof-node150970.smt2,cvc5
BV/wintersteiger/fmsd13/ranking/audio_ddksynth_voice.cpp.smt2,Bitwuzla
BV/2017-Preiner-scholl-smt08/RND/RND_3_28.smt2,Z3-alpha
BV/20170501-Heizmann-UltimateAutomizer/jain_7_true-unreach-call_true-no-overflow.i_383.smt2,YicesQS
BV/2018-Preiner-cav18/check_bvsge_bvudiv0_32bit.smt2,Bitwuzla
BV/wintersteiger/fmsd13/ranking/filesys_fastfat_cachesup.c.smt2,cvc5
BV/2020-Preiner-fmcad20/inv/check_ic_bvult_x_s_64.smt2,Bitwuzla
BV/2017-Preiner-keymaera/intersection-example-simple.proof-node271799.smt2,cvc5
BV/2017-Preiner-keymaera/intersection-example-simple.proof-node198058.smt2,cvc5
BV/2017-Preiner-keymaera/intersection-example-onelane.proof-node48996.smt2,YicesQS
BV/2017-Preiner-psyco/056.smt2,Z3-alpha
BV/2017-Preiner-keymaera/intersection-example-simple.proof-node197946.smt2,cvc5
BV/2017-Preiner-keymaera/intersection-example-onelane.proof-node43393.smt2,YicesQS
BV/2018-Preiner-cav18/check_bvugt_bvashr1_64bit.smt2,YicesQS
BV/20210330-PEak/extern-loop_unsat_subset/easy.smt2,Z3-alpha
BV/wintersteiger/fmsd13/fixpoint/small-equiv-fixpoint-10.smt2,cvc5
BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_4_9.smt2,Z3-alpha
BV/2017-Preiner-keymaera/intersection-example-onelane.proof-node12481.smt2,YicesQS
BV/2017-Preiner-keymaera/FTRM-entry-tang-feasible-node1796.smt2,YicesQS
BV/2017-Preiner-keymaera/intersection-example-simple.proof-node347403.smt2,cvc5
BV/2017-Preiner-keymaera/intersection-example-onelane.proof-node17882.smt2,cvc5
BV/2017-Preiner-scholl-smt08/RND/RND_6_40.smt2,Z3-alpha
BV/2017-Preiner-keymaera/intersection-example-simple.proof-node345278.smt2,cvc5
BV/20190429-UltimateAutomizerSvcomp2019/jain_2_true-unreach-call_true-no-overflow_false-termination.i_11.smt2,YicesQS
BV/2017-Preiner-UltimateAutomizer/Primes_true-unreach-call.c_187.smt2,YicesQS
BV/2017-Preiner-keymaera/intersection-example-simple.proof-node152733.smt2,cvc5
BV/2017-Preiner-keymaera/intersection-example-simple.proof-node155401.smt2,cvc5
BV/2017-Preiner-scholl-smt08/RND/RND_6_26.smt2,Z3-alpha
BV/20170501-Heizmann-UltimateAutomizer/jain_6_true-unreach-call_true-no-overflow.i_434.smt2,YicesQS
BV/2018-Preiner-cav18/check_bvugt_bvconcat0_64_64bit.smt2,cvc5
BV/20170501-Heizmann-UltimateAutomizer/jain_1_true-unreach-call_true-no-overflow.i_407.smt2,YicesQS
BV/2020-Preiner-fmcad20/cons/check_cc_concat_x_s_32.smt2,Bitwuzla
BV/2020-Preiner-fmcad20/cons/check_cc_bvlshr_s_x_32.smt2,Bitwuzla
BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_3_30.smt2,Z3-alpha
BV/2017-Preiner-psyco/133.smt2,Z3-alpha
BV/2017-Preiner-keymaera/intersection-example-simple.proof-node389285.smt2,cvc5
BV/2017-Preiner-keymaera/intersection-example-simple.proof-node369234.smt2,cvc5
BV/2017-Preiner-keymaera/intersection-example-simple.proof-node551039.smt2,cvc5
BV/2020-Preiner-fmcad20/inv/check_ic_concat_s_x_4.smt2,Bitwuzla
BV/2018-Preiner-cav18/check_eq_bvudiv0_64bit.smt2,Bitwuzla
BV/2017-Preiner-psyco/075.smt2,Z3-alpha
BV/20230321-UltimateAutomizerSvcomp2023/jain_2-2.c_3.smt2,YicesQS
BV/2017-Preiner-psyco/048.smt2,Z3-alpha
BV/2017-Preiner-psyco/027.smt2,Z3-alpha
BV/2018-Preiner-cav18/check_bvugt_bvlshr1_64bit.smt2,YicesQS
BV/2017-Preiner-keymaera/intersection-example-simple.proof-node388939.smt2,cvc5
BV/2017-Preiner-keymaera/intersection-example-simple.proof-node351731.smt2,cvc5
BV/2017-Preiner-scholl-smt08/model/model_6_28.smt2,YicesQS
BV/2020-Preiner-fmcad20/inv/check_ic_concat_x_s_64.smt2,Bitwuzla
BV/20190429-UltimateAutomizerSvcomp2019/jain_7_true-unreach-call_true-no-overflow_false-termination.i_18.smt2,YicesQS
BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_3_44.smt2,Z3-alpha
BV/2017-Preiner-psyco/073.smt2,Z3-alpha
BV/2020-Preiner-fmcad20/inv/check_ic_bvurem_s_x_4.smt2,Bitwuzla
BV/2018-Preiner-cav18/check_bvsle_bvlshr1_64bit.smt2,Bitwuzla
BV/2017-Preiner-psyco/015.smt2,Z3-alpha
BV/2017-Preiner-scholl-smt08/RND/RND_6_9.smt2,Z3-alpha
BV/2017-Preiner-keymaera/intersection-example-simple.proof-node703624.smt2,cvc5
BV/2017-Preiner-keymaera/intersection-example-simple.proof-node631164.smt2,cvc5
BV/wintersteiger/fmsd13/fixpoint/AR-fixpoint-8.smt2,cvc5
BV/20230321-UltimateAutomizerSvcomp2023/btor2c-lazyMod.fischer.1.prop1-back-serstep.c_2.smt2,Bitwuzla
BV/2017-Preiner-keymaera/intersection-example-onelane.proof-node54847.smt2,YicesQS
BV/2017-Preiner-psyco/083.smt2,Z3-alpha
BV/2017-Preiner-keymaera/intersection-example-simple.proof-node269426.smt2,cvc5
BV/2017-Preiner-keymaera/intersection-example-simple.proof-node674647.smt2,cvc5
BV/2017-Preiner-keymaera/intersection-example-simple.proof-node171004.smt2,cvc5
BV/2017-Preiner-keymaera/vsl.proof-node1722.smt2,YicesQS
BV/2017-Preiner-keymaera/intersection-example-simple.proof-node247731.smt2,cvc5
BV/wintersteiger/fmsd13/fixpoint/AR-fixpoint-3.smt2,cvc5
BV/2017-Preiner-scholl-smt08/model/model_5_64.smt2,Bitwuzla
BV/2017-Preiner-psyco/119.smt2,Z3-alpha
BV/2020-Preiner-fmcad20/inv/check_ic_bvashr_x_s_4.smt2,Bitwuzla
BV/20190429-UltimateAutomizerSvcomp2019/jain_6_true-unreach-call_true-no-overflow_false-termination.i_17.smt2,YicesQS
BV/2020-Preiner-fmcad20/cons/check_cc_urem_x_s_4.smt2,cvc5
BV/20230321-UltimateAutomizerSvcomp2023/btor2c-eagerMod.vis_arrays_vsa16a_p6.c_5.smt2,Bitwuzla
BV/20190429-UltimateAutomizerSvcomp2019/jain_6_true-unreach-call_true-no-overflow_false-termination.i_8.smt2,YicesQS
BV/2018-Preiner-cav18/check_bvuge_bvlshr1_64bit.smt2,Bitwuzla
BV/2017-Preiner-keymaera/intersection-example-onelane.proof-node37008.smt2,cvc5
