benchmark,selected
QF_IDL/queens_bench/n_queen/queen10-1.smt2,Yices2
QF_IDL/mathsat/fischer/FISCHER7-8-ninc.smt2,cvc5
QF_IDL/queens_bench/n_queen/queen66-1.smt2,Yices2
QF_IDL/DTP/DTP_k2_n35_c175_s8.smt2,OpenSMT
QF_IDL/DTP/DTP_k2_n35_c210_s3.smt2,OpenSMT
QF_IDL/RTCL/b13_tf_9_PROP14/ckt_PROP14_tf_9.smt2,Yices2
QF_IDL/Averest/insertion_sort/InsertionSort_safe_bgmc003.smt2,Yices2
QF_IDL/schedulingIDL/j7_per0_0_mkspan1045.smt2,Yices2
QF_IDL/asp/MazeGeneration/maze-generation-width=12-height=12-density=0.01-run=5.smt2,Yices2
QF_IDL/mathsat/post_office/PO3-4-PO3.smt2,cvc5
QF_IDL/20210312-Bouvier/vlsat3_c61.smt2,cvc5
QF_IDL/queens_bench/n_queen/queen70-1.smt2,Yices2
QF_IDL/Averest/insertion_sort/InsertionSort_live_blmc006.smt2,Yices2
QF_IDL/qlock/qlock-4-10-18.base.cvc.smt2,Z3-alpha
QF_IDL/planning/plan-42.cvc.smt2,Yices2
QF_IDL/queens_bench/super_queen/super_queen33-1.smt2,Yices2
QF_IDL/20210312-Bouvier/vlsat3_c33.smt2,cvc5
QF_IDL/20210312-Bouvier/vlsat3_c20.smt2,Z3-alpha
QF_IDL/schedulingIDL/j7_per0_2_mkspan1039.smt2,Yices2
QF_IDL/asp/HierarchicalClustering/xy.12.x.12.r.3.274440616.806497.data_k=4_l=3_unsat.gph.smt2,Z3-alpha
QF_IDL/mathsat/fischer/FISCHER14-15-ninc.smt2,cvc5
QF_IDL/job_shop/jobshop20-2-10-10-2-4-9.smt2,OpenSMT
QF_IDL/mathsat/fischer/FISCHER12-4-ninc.smt2,cvc5
QF_IDL/mathsat/fischer/FISCHER11-4-ninc.smt2,cvc5
QF_IDL/20210312-Bouvier/vlsat3_c12.smt2,Z3-alpha
QF_IDL/20210312-Bouvier/vlsat3_c01.smt2,cvc5
