benchmark,selected,solved,runtime
QF_LIA/convert/convert-jpg2gif-query-1498.smt2,OpenSMT,1,0.971933369000908
QF_LIA/nec-smt/large/bftpd_login/prp-67-48.smt2,Yices2,1,1.1637336290150415
QF_LIA/nec-smt/large/bftpd_login/prp-12-48.smt2,Yices2,1,1.2164743790053762
QF_LIA/bofill-scheduling/SMT_real_LIA/ex3380_2400_100.smt2,OpenSMT,1,0.2748801119887503
QF_LIA/20220307-SMPT/NeighborGrid-PT-d2n3m1t12/RF-12.smt2,Z3-alpha,1,0.26652486200327985
QF_LIA/nec-smt/large/checkpass_pwd/prp-28-38.smt2,Yices2,1,1.0565152780036442
QF_LIA/convert/convert-jpg2gif-query-1540.smt2,Z3-alpha,1,0.9585889499867335
QF_LIA/dillig/40-20.smt2,Z3-alpha,1,0.2967105850111693
QF_LIA/nec-smt/med/int_from_list/prp-31-36.smt2,Yices2,1,0.24593462501070462
QF_LIA/20220307-SMPT/Diffusion2D-PT-D20N050/RF-09.smt2,OpenSMT,1,0.2508554579981137
QF_LIA/bofill-scheduling/SMT_random_LIA/ex27400_2600_100.smt2,OpenSMT,1,0.27278426400152966
QF_LIA/20220307-SMPT/RobotManipulation-PT-05000/RF-14.smt2,Z3-alpha,1,0.2998203590104822
QF_LIA/rings/ring_2exp14_9vars_4ite_unsat.smt2,Yices2,1,0.2444331320002675
QF_LIA/nec-smt/large/bftpd_login/prp-34-48.smt2,Yices2,1,1.1962611800117884
QF_LIA/nec-smt/large/checkpass_pwd/prp-42-38.smt2,Yices2,1,0.35240316300769337
QF_LIA/nec-smt/med/checkpass_pwd/prp-13-32.smt2,Yices2,1,0.4657925599894952
QF_LIA/20220307-SMPT/Diffusion2D-PT-D20N100/RF-06.smt2,OpenSMT,1,0.23684586300805677
QF_LIA/nec-smt/large/int_from_list/prp-52-49.smt2,Yices2,1,0.312022417987464
QF_LIA/CIRC/simplebitadder/SIMPLEBITADDER_COMPOSE_9.msat.smt2,OpenSMT,1,28.10216909200244
QF_LIA/20220307-SMPT/Diffusion2D-PT-D30N100/RF-01.smt2,OpenSMT,1,0.26698324098833837
QF_LIA/nec-smt/large/user_is_in_group/prp-9-47.smt2,Yices2,1,2.57110037500388
QF_LIA/nec-smt/large/bftpd_login/prp-38-42.smt2,Yices2,1,0.5161154310044367
QF_LIA/20220307-SMPT/Referendum-PT-0200/RF-15.smt2,OpenSMT,1,0.2433818339923164
QF_LIA/20220307-SMPT/IOTPpurchase-PT-C01M01P01D01/RF-12.smt2,Z3-alpha,1,0.2926965149817988
QF_LIA/dillig/20-30.smt2,Z3-alpha,1,0.5618800399824977
QF_LIA/bofill-scheduling/SMT_real_LIA/ex9200_2400_100.smt2,OpenSMT,1,0.27777790700201876
QF_LIA/convert/convert-jpg2gif-query-1188.smt2,OpenSMT,1,0.32002918201033026
QF_LIA/convert/convert-jpg2gif-query-1391.smt2,OpenSMT,1,0.5084071650053374
QF_LIA/nec-smt/large/getoption/prp-1-197.smt2,Yices2,1,0.5318222710047849
QF_LIA/nec-smt/med/checkpass_pwd/prp-32-32.smt2,Yices2,1,0.27530345201375894
QF_LIA/20220307-SMPT/SmallOperatingSystem-PT-MT0064DC0016/RF-14.smt2,Z3-alpha,1,0.2726282659859862
QF_LIA/nec-smt/large/bftpd_login/prp-35-40.smt2,Yices2,1,0.36474440500023775
QF_LIA/nec-smt/large/checkpass/prp-44-47.smt2,Yices2,1,0.3588889059901703
QF_LIA/nec-smt/large/user_is_in_group/prp-8-47.smt2,Yices2,1,1.2310454070102423
QF_LIA/nec-smt/large/checkpass_pwd/prp-47-49.smt2,Yices2,1,10.278491290984675
QF_LIA/20220307-SMPT/SmallOperatingSystem-PT-MT4096DC2048/RF-02.smt2,Z3-alpha,1,0.2714320980012417
QF_LIA/20231117-c_inference/60_60_46_1_sat.smt2,SMTInterpol,1,177.14180478698108
QF_LIA/rings_preprocessed/ring_2exp4_8vars_7ite_unsat.smt2,OpenSMT,1,2.6139907939941622
QF_LIA/cut_lemmas/10-vars/cut_lemma_02_008.smt2,Z3-alpha,1,0.27198738197330385
QF_LIA/convert/convert-jpg2gif-query-1373.smt2,OpenSMT,1,0.3832050680066459
QF_LIA/nec-smt/large/getoption_user/prp-18-47.smt2,Yices2,1,0.9842052589810919
QF_LIA/20220307-SMPT/CircularTrains-PT-096/RF-14.smt2,Z3-alpha,1,0.2879197350121103
QF_LIA/20220307-SMPT/RwMutex-PT-r0010w1000/RC-00.smt2,Yices2,1,0.2732732290169224
QF_LIA/nec-smt/large/getoption_user/prp-25-46.smt2,Yices2,1,1.0962128909886815
QF_LIA/CAV_2009_benchmarks/smt/15-vars/problem_2__013.smt2,Z3-alpha,1,0.2963697339873761
QF_LIA/20220307-SMPT/RwMutex-PT-r0500w0010/RC-14.smt2,OpenSMT,1,0.8283476640062872
QF_LIA/bofill-scheduling/SMT_real_LIA/ex5080_2400_100.smt2,OpenSMT,1,261.3143732680037
QF_LIA/bofill-scheduling/SMT_random_LIA/ex29000_2600_100.smt2,OpenSMT,1,0.3183157759922324
QF_LIA/20220307-SMPT/BART-PT-002/RF-00.smt2,OpenSMT,1,0.23394339601509273
QF_LIA/nec-smt/large/bftpd_login/prp-38-43.smt2,Yices2,1,0.5791581550147384
QF_LIA/20220307-SMPT/HouseConstruction-PT-00500/RC-10.smt2,Z3-alpha,1,0.26912695801001973
QF_LIA/pidgeons/pigeon-hole-13.smt2,OpenSMT,1,0.2158785240026191
QF_LIA/nec-smt/large/bftpd_login/prp-30-50.smt2,Yices2,1,1.5729397299874108
QF_LIA/20220307-SMPT/MAPK-PT-00160/RC-04.smt2,Z3-alpha,1,0.36482157598948106
QF_LIA/bofill-scheduling/SMT_real_LIA/ex7280_2400_100.smt2,OpenSMT,1,0.40306928899371997
QF_LIA/20220307-SMPT/Diffusion2D-PT-D10N150/RF-07.smt2,Z3-alpha,1,0.3031029700068757
QF_LIA/20220307-SMPT/SwimmingPool-PT-07/RC-09.smt2,Z3-alpha,1,0.2677927839977201
QF_LIA/20220307-SMPT/RwMutex-PT-r0010w0100/RF-05.smt2,OpenSMT,1,0.368282295006793
