benchmark,selected,solved,runtime
QF_NRA/hycomp/ball_count_2d_plain.01.seq_lazy_linear_enc_lemmas_global_2.smt2,Z3-alpha,1,0.2765568380127661
QF_NRA/LassoRanker/Ultimate/Collatz.bpl_Iteration1_Lasso_2-phaseTemplate.smt2,Z3-alpha,1,9.120227359002456
QF_NRA/hycomp/ball_count_2d_hill.02.redlog_global_4.smt2,Z3-alpha,0,1201.7163853959937
QF_NRA/meti-tarski/sqrt/problem/13/sqrt1/sqrt-problem-13-sqrt1-chunk-0059.smt2,Z3-alpha,1,0.2695992799999658
QF_NRA/hycomp/ball_count_1d_plain.05.seq_lazy_linear_enc_lemmas_global_11.smt2,Yices2,1,0.24536120300763287
QF_NRA/hycomp/ball_count_2d_hill_simple.01.seq_lazy_lemmas_global_2.smt2,Z3-alpha,1,0.30407173198182136
QF_NRA/hycomp/ball_count_2d_plain.04.seq_lazy_linear_enc_lemmas_global_14.smt2,Yices2,0,1201.2604876669939
QF_NRA/meti-tarski/Lyapunov/Lyapunov1a-chunk-0026.smt2,Z3-alpha,1,0.29140539301442914
QF_NRA/zankl/matrix-5-all-2.smt2,SMT-RAT,0,1201.7115294390242
QF_NRA/meti-tarski/Chua/2/IL/L/Chua-2-IL-L-chunk-0069.smt2,Z3-alpha,1,0.2677582769829314
QF_NRA/hycomp/ball_count_2d_hill_simple.04.redlog_global_11.smt2,Yices2,1,0.22668906100443564
QF_NRA/20161105-Sturm-MBO/mbo_E8E23.smt2,Yices2,1,0.29921590600861236
QF_NRA/meti-tarski/CMOS/CMOS-opamp-chunk-0320.smt2,Z3-alpha,1,0.33941693900851533
QF_NRA/meti-tarski/atan/problem/1/atan-problem-1-chunk-0100.smt2,Z3-alpha,1,0.2927327709912788
QF_NRA/20200911-Pine/1599122163933833000.smt2,Z3-alpha,1,0.2665462650184054
QF_NRA/LassoRanker/SV-COMP/Masse_true-termination.c_Iteration1_Loop_3-pieceTemplate.smt2,cvc5,1,117.56519132299582
QF_NRA/meti-tarski/Chua/2/IL/U/Chua-2-IL-U-chunk-0099.smt2,Z3-alpha,1,0.2843863760062959
QF_NRA/meti-tarski/atan/vega/3/atan-vega-3-chunk-0341.smt2,SMT-RAT,1,0.22211026001605205
QF_NRA/2019-ezsmt/reverseFolding/31-reverse_folding-0-0.smt2,Yices2,1,1.5638274759985507
QF_NRA/LassoRanker/CooperatingT2/matrixsqrt.t2.c_Iteration4_Loop_4-pieceTemplate.smt2,cvc5,1,1.2449530290032271
QF_NRA/20161105-Sturm-MBO/mbo_E7E9.smt2,SMT-RAT,1,0.34533513901988044
QF_NRA/meti-tarski/atan/vega/3/weak/atan-vega-3-weak-chunk-0476.smt2,Z3-alpha,1,0.38486247399123386
QF_NRA/20200911-Pine/1599121899405522000.smt2,Z3-alpha,1,0.2728155569930095
