benchmark,selected,solved,runtime
QF_SLIA/2018-Kepler/quad-144-4-3-unsat.smt2,Z3-Noodler,1,0.2724438928999007
QF_SLIA/20180523-Reynolds/kaluza/sat/small/4643.corecstrs.readable.smt2,Z3alpha,1,0.26977613009512424
QF_SLIA/20180523-Reynolds/kaluza/sat/small/16800.corecstrs.readable.smt2,Z3alpha,1,0.27795687690377235
QF_SLIA/20180523-Reynolds/kaluza/sat/small/4008.corecstrs.readable.smt2,Z3alpha,1,0.26414679107256234
QF_SLIA/20180523-Reynolds/pyex/peterc-pyex-doc-cav17-z3/pymongo/pymongo-mongoclient/08b3c6720276348123cb72f496fee631f89b710755fc902403bd2baf.smt2,cvc5,1,0.3258845400996506
QF_SLIA/20180523-Reynolds/pyex/peterc-pyex-doc-cav17-z3/httplib2/httplib2-entry-disposition/9d1beffccee86d2f77c09f251239e3d03f4740fb7aa050f85c3b7881.smt2,cvc5,1,0.3409528839401901
QF_SLIA/20240411-redos_attack_detection/sat/2910_attack.smt2,Z3-Noodler,1,2.4270515479147434
QF_SLIA/20230329-denghang/instance48945.smt2,Z3-Noodler,1,0.2730783650185913
QF_SLIA/20180523-Reynolds/pyex/peterc-pyex-doc-cav17-td/httplib2/httplib2-entry-disposition/303bbd79a4760a1e76c9ccfc7e4474d018bddf156d244def1aadc54b.smt2,cvc5,1,0.35031983093358576
QF_SLIA/20240411-redos_attack_detection/sat/1755_attack.smt2,Z3-Noodler,1,0.3157528901938349
QF_SLIA/20230327-stringfuzz-lu/transformed/z3str2/regex-021-graft-translate-translate.smt2,Z3-Noodler,1,0.2679917002096772
QF_SLIA/20230327-stringfuzz-lu/transformed/z3str2/regex-003-translate-reverse.smt2,Z3-Noodler,1,0.25906868488527834
QF_SLIA/20180523-Reynolds/kaluza/sat/small/13108.corecstrs.readable.smt2,Z3alpha,1,0.31874882988631725
QF_SLIA/20230327-stringfuzz-lu/transformed/z3str2/regex-003-fuzz-fuzz-graft.smt2,Z3-Noodler,1,0.24195095105096698
QF_SLIA/20180523-Reynolds/pyex/peterc-pyex-doc-cav17-zz/httplib2/httplib2-entry-disposition/3b0038447cd4bbcb8504520a8cbc60a80af0eeb71cf74331a873a6a5.smt2,cvc5,1,0.2740408021491021
QF_SLIA/20180523-Reynolds/kaluza/sat/small/10065.corecstrs.readable.smt2,Z3alpha,1,0.26995460502803326
QF_SLIA/20230327-stringfuzz-lu/transformed/z3str2/regex-011-unsat-translate-rotate-graft.smt2,Z3-Noodler,1,0.24042073893360794
QF_SLIA/20180523-Reynolds/pyex/peterc-pyex-doc-cav17-td/httplib2/httplib2-entry-disposition/c435dadb4b054a843dfd5454b1550d71f8c147723a759ddca06ac019.smt2,cvc5,1,0.32216069009155035
QF_SLIA/2019-full_str_int/py-conbyte_cvc4/leetcode_int-restoreIpAddresses/7220.smt2,cvc5,1,0.25328330509364605
QF_SLIA/20230327-stringfuzz-lu/transformed/z3str2/regex-007-unsat-graft-rotate-translate.smt2,Z3-Noodler,1,0.24203663901425898
QF_SLIA/20180523-Reynolds/kaluza/unsat/big/21887.corecstrs.readable.smt2,Z3alpha,1,0.27075088978745043
QF_SLIA/20240411-redos_attack_detection/sat/321_attack.smt2,Z3-Noodler,1,0.48949210601858795
QF_SLIA/20240411-redos_attack_detection/unsat/436_attack.smt2,Z3alpha,1,0.29988866997882724
QF_SLIA/20230327-stringfuzz-lu/transformed/z3str2/regex-004-unsat-graft-graft-reverse.smt2,Z3-Noodler,1,0.24036535900086164
QF_SLIA/20230327-stringfuzz-lu/transformed/z3str2/regex-050-multiply-rotate-fuzz.smt2,Z3-Noodler,1,0.2435103659518063
QF_SLIA/20230327-stringfuzz-lu/transformed/z3str2/regex-027-rotate-multiply-translate.smt2,Z3-Noodler,1,0.24449521396309137
QF_SLIA/20240411-redos_attack_detection/sat/2697_attack.smt2,Z3-Noodler,1,2.662426656112075
QF_SLIA/20230327-stringfuzz-lu/generated/regexlengths/regex-lengths-00476-7.smt2,Z3-Noodler,1,0.24889513198286295
