path,assert,declare-fun,declare-const,declare-sort,define-fun,define-fun-rec,define-funs-rec,define-sort,declare-datatype,declare-datatypes,Array,select,store,store_all,eqrange,Int,Real,div,mod,divisible,iand,int.pow2,div_total,mod_total,/,/_total,+,-,*,<,<=,>,>=,to_real,to_int,is_int,abs,^,real.pi,exp,sin,cos,tan,csc,sec,cot,arcsin,arccos,arctan,arccsc,arcsec,arccot,sqrt,true,false,Bool,ite,not,or,and,=>,xor,=,distinct,const,exists,forall,let,maxTermDepth,normalizedSize
ALIA/piVC/piVC_d9dcdb.smt2,1,0,6,0,0,0,0,0,0,0,0,14,0,0,0,12,0,0,0,0,0,0,0,0,0,0,2,8,0,4,31,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,9,33,6,0,1,0,0,6,6,1,19,1776
ALIA/piVC/piVC_13de35.smt2,1,0,6,0,0,0,0,0,0,0,0,20,6,0,0,12,0,0,0,0,0,0,0,0,0,0,2,8,0,4,30,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,9,33,6,0,1,0,0,6,6,4,19,2000
ALIA/piVC/piVC_bd0142.smt2,1,0,15,0,0,0,0,0,0,0,0,47,5,0,0,32,0,0,0,0,0,0,0,0,0,0,5,26,0,3,78,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,22,78,20,0,24,0,0,12,20,2,31,4657
ALIA/piVC/piVC_849b63.smt2,1,0,15,0,0,0,0,0,0,0,0,45,5,0,0,32,0,0,0,0,0,0,0,0,0,0,5,26,0,2,77,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,22,77,20,0,24,0,0,12,20,2,30,4617
ALIA/piVC/piVC_c7166c.smt2,1,0,8,0,0,0,0,0,0,0,0,9,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,4,0,1,22,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,27,6,0,5,0,0,2,6,1,17,1368
ALIA/piVC/piVC_b5f37c.smt2,1,0,8,0,0,0,0,0,0,0,0,8,1,0,0,5,0,0,0,0,0,0,0,0,0,0,4,3,0,1,16,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,20,3,0,2,0,0,2,3,3,20,1174
ALIA/piVC/piVC_d91441.smt2,1,0,8,0,0,0,0,0,0,0,0,11,1,0,0,6,0,0,0,0,0,0,0,0,0,0,3,4,0,1,18,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,9,24,3,0,3,0,0,3,3,3,21,1438
ALIA/piVC/piVC_ffb7db.smt2,1,0,15,0,0,0,0,0,0,0,0,29,2,0,0,22,0,0,0,0,0,0,0,0,0,0,11,10,0,3,63,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,22,70,15,0,13,0,0,7,15,4,28,3997
ALIA/piVC/piVC_dab5a0.smt2,1,0,15,0,0,0,0,0,0,0,0,29,2,0,0,22,0,0,0,0,0,0,0,0,0,0,11,10,0,3,62,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,22,68,15,0,13,0,0,7,15,3,25,3942
ALIA/piVC/piVC_5cee0c.smt2,1,0,15,0,0,0,0,0,0,0,0,47,5,0,0,32,0,0,0,0,0,0,0,0,0,0,5,26,0,3,77,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,22,78,20,0,24,0,0,12,20,2,31,4656
