path,assert,declare-fun,declare-const,declare-sort,define-fun,define-fun-rec,define-funs-rec,define-sort,declare-datatype,declare-datatypes,Int,Real,div,mod,divisible,iand,int.pow2,div_total,mod_total,/,/_total,+,-,*,<,<=,>,>=,to_real,to_int,is_int,abs,^,real.pi,exp,sin,cos,tan,csc,sec,cot,arcsin,arccos,arctan,arccsc,arcsec,arccot,sqrt,true,false,Bool,ite,not,or,and,=>,xor,=,distinct,const,maxTermDepth,normalizedSize
QF_IDL/Averest/insertion_sort/InsertionSort_live_blmc000.smt2,1,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,0,0,96,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,1459,5711,0,0,181,0,0,388,112333
QF_IDL/Averest/insertion_sort/InsertionSort_live_bgmc007.smt2,1,0,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,572,0,0,224,0,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322,3416,13264,0,0,404,0,0,771,270746
QF_IDL/Averest/insertion_sort/InsertionSort_live_bgmc000.smt2,1,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,32,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,488,1906,0,0,62,0,0,195,37022
QF_IDL/Averest/insertion_sort/InsertionSort_safe_bgmc002.smt2,1,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,38,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,496,1926,0,0,62,0,0,195,37554
QF_IDL/Averest/insertion_sort/InsertionSort_safe_blmc006.smt2,1,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1314,0,0,463,0,448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,667,7779,27627,0,0,987,0,0,1488,606049
QF_IDL/Averest/insertion_sort/InsertionSort_safe_bgmc004.smt2,1,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,0,0,102,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,1478,5730,0,0,176,0,0,383,112606
QF_IDL/Averest/insertion_sort/InsertionSort_safe_blmc004.smt2,1,0,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,856,0,0,300,0,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,438,5027,17804,0,0,644,0,0,982,389667
QF_IDL/Averest/insertion_sort/InsertionSort_live_blmc005.smt2,1,0,463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1731,0,0,672,0,672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,982,10211,39873,0,0,1227,0,0,2144,841353
QF_IDL/Averest/insertion_sort/InsertionSort_safe_bgmc003.smt2,1,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,0,0,70,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,987,3828,0,0,119,0,0,284,74911
QF_IDL/Averest/insertion_sort/InsertionSort_safe_blmc003.smt2,1,0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,608,0,0,204,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,3570,12115,0,0,468,0,0,699,265749
QF_IDL/Averest/insertion_sort/InsertionSort_live_bgmc008.smt2,1,0,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,653,0,0,256,0,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,367,3904,15157,0,0,461,0,0,866,311035
QF_IDL/Averest/insertion_sort/InsertionSort_live_blmc009.smt2,1,0,1131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4505,0,0,1760,0,1760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2536,26739,104355,0,0,3185,0,0,5436,2272171
QF_IDL/Averest/insertion_sort/InsertionSort_safe_blmc001.smt2,1,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312,0,0,105,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,1788,6076,0,0,239,0,0,396,130012
