path,assert,declare-fun,declare-const,declare-sort,define-fun,define-fun-rec,define-funs-rec,define-sort,declare-datatype,declare-datatypes,Int,Real,div,mod,divisible,iand,int.pow2,div_total,mod_total,/,/_total,+,-,*,<,<=,>,>=,to_real,to_int,is_int,abs,^,real.pi,exp,sin,cos,tan,csc,sec,cot,arcsin,arccos,arctan,arccsc,arcsec,arccot,sqrt,true,false,Bool,ite,not,or,and,=>,xor,=,distinct,const,maxTermDepth,normalizedSize
QF_LRA/tta_startup/simple_startup_8nodes.abstract.induct.smt2,1,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,123,233,18,98,357,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,114,421,1844,2416,0,0,1025,0,0,279,86784
QF_LRA/tta_startup/simple_startup_8nodes.synchro.base.smt2,1,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,78,122,9,66,193,10,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,85,454,1238,1889,0,0,823,0,0,237,64638
QF_LRA/tta_startup/simple_startup_3nodes.missing.induct.smt2,1,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,51,58,8,38,82,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,49,106,392,674,0,0,268,0,0,152,24286
QF_LRA/tta_startup/simple_startup_3nodes.abstract.base.smt2,1,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,33,32,4,26,48,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,40,66,216,515,0,0,202,0,0,115,16869
QF_LRA/tta_startup/simple_startup_10nodes.missing.induct.smt2,1,0,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,149,331,22,122,523,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,140,603,2716,3390,0,0,1465,0,0,327,122392
QF_LRA/tta_startup/simple_startup_4nodes.synchro.base.smt2,1,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,42,46,5,34,69,6,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,49,134,376,747,0,0,299,0,0,141,25031
QF_LRA/tta_startup/simple_startup_11nodes.synchro.base.smt2,1,0,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,105,200,12,90,328,13,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,112,820,2210,3050,0,0,1384,0,0,309,105937
QF_LRA/tta_startup/simple_startup_12nodes.abstract.induct.smt2,1,0,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,179,445,26,146,721,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,166,817,3760,4528,0,0,1989,0,0,379,165692
QF_LRA/tta_startup/simple_startup_5nodes.missing.induct.smt2,1,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,79,116,12,62,168,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,75,208,846,1250,0,0,510,0,0,212,45054
QF_LRA/tta_startup/simple_startup_11nodes.abstract.induct.smt2,1,0,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,165,386,24,134,618,1,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,153,706,3218,3940,0,0,1718,0,0,354,142774
