benchmark,selected,solved,runtime
QF_LIA/nec-smt/large/bftpd_login/prp-40-47.smt2,Yices2,1,1.0415762859920505
QF_LIA/20220307-SMPT/BART-PT-040/RC-14.smt2,Yices2,1,0.29068280098726973
QF_LIA/dillig/40-20.smt2,cvc5,1,0.32163154099544045
QF_LIA/slacks/25-29.slack.smt2,Z3alpha,1,1.1085925999796018
QF_LIA/CAV_2009_benchmarks/smt/25-vars/problem_2__029.smt2,cvc5,1,0.269860129992594
QF_LIA/CAV_2009_benchmarks/coef-size/smt/size-60/problem__004.smt2,cvc5,1,0.28085114900022745
QF_LIA/20210219-Dartagnan/ConcurrencySafety-Main/sync01-O0.smt2,Yices2,1,0.41511789898504503
QF_LIA/20220307-SMPT/Diffusion2D-PT-D05N050/RC-01.smt2,Yices2,1,0.210200989007717
QF_LIA/bofill-scheduling/SMT_real_LIA/ex7760_2400_100.smt2,Yices2,1,0.27033107599709183
QF_LIA/convert/convert-jpg2gif-query-1343.smt2,OpenSMT,1,0.32346731500001624
QF_LIA/nec-smt/large/checkpass_pwd/prp-36-36.smt2,Yices2,1,0.5582692709867842
QF_LIA/nec-smt/large/getoption_user/prp-36-47.smt2,Yices2,1,1.8323398799984716
QF_LIA/20220307-SMPT/SmallOperatingSystem-PT-MT8192DC4096/RC-03.smt2,Yices2,1,0.21478369701071642
QF_LIA/dillig/35-27.smt2,cvc5,1,0.32633264698961284
QF_LIA/dillig/40-14.smt2,cvc5,1,0.27176868499373086
QF_LIA/nec-smt/large/user_is_in_group/prp-8-46.smt2,Yices2,1,0.8861255779920612
QF_LIA/20220307-SMPT/Diffusion2D-PT-D50N050/RF-01.smt2,Yices2,1,0.22850231698248535
QF_LIA/nec-smt/large/bftpd_login/prp-54-48.smt2,Yices2,1,1.2424516470055096
QF_LIA/20220307-SMPT/Diffusion2D-PT-D30N010/RC-09.smt2,Yices2,1,0.21639663298265077
QF_LIA/nec-smt/large/user_is_in_group/prp-21-50.smt2,Yices2,1,2.2609232669929042
QF_LIA/20220307-SMPT/IOTPpurchase-PT-C12M10P15D17/RC-14.smt2,Yices2,1,0.2542692559945863
QF_LIA/20220307-SMPT/RwMutex-PT-r0010w1000/RC-05.smt2,Yices2,1,0.280018284014659
QF_LIA/bofill-scheduling/SMT_real_LIA/ex2900_2400_100.smt2,Yices2,1,0.21688446900225244
QF_LIA/20220307-SMPT/SmallOperatingSystem-PT-MT0064DC0032/RC-00.smt2,Yices2,1,0.23435302000143565
QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/15-vars/v15_problem__021.smt2.slack.smt2,Z3alpha,1,0.4639512780122459
QF_LIA/20220307-SMPT/FamilyReunion-PT-L00400M0040C020P020G001/RC-15.smt2,Yices2,1,2.157149500999367
QF_LIA/nec-smt/large/checkpass_pwd/prp-37-47.smt2,Yices2,1,2.6773370199953206
QF_LIA/20220307-SMPT/Referendum-PT-0100/RF-02.smt2,Yices2,1,0.2186148609907832
QF_LIA/bofill-scheduling/SMT_random_LIA/ex19300_2600_100.smt2,Yices2,1,0.33375856501515955
QF_LIA/rings_preprocessed/ring_2exp6_5vars_3ite_unsat.smt2,cvc5,1,0.27959542100143153
QF_LIA/nec-smt/large/checkpass_pwd/prp-50-42.smt2,Yices2,1,0.4221195929858368
QF_LIA/20220307-SMPT/Diffusion2D-PT-D50N150/RC-13.smt2,Yices2,1,0.2324542379938066
QF_LIA/convert/convert-jpg2gif-query-1156.smt2,cvc5,1,0.5747365999995964
QF_LIA/2019-ezsmt/incrementalScheduling/359-incremental_scheduling-75000-0.smt2,Yices2,0,1201.2122649119992
QF_LIA/rings/ring_2exp8_8vars_7ite_unsat.smt2,Yices2,1,0.24381386299501173
QF_LIA/cut_lemmas/15-vars/cut_lemma_01_014.smt2,cvc5,1,5.550134862001869
QF_LIA/20220307-SMPT/MAPK-PT-00320/RC-15.smt2,Yices2,1,0.24143273898516782
QF_LIA/2019-ezsmt/incrementalScheduling/099-incremental_scheduling-15631-0.smt2,Z3alpha,1,0.34068447499885224
QF_LIA/pb2010/normalized-j12047_10-unsat.smt2,Z3alpha,0,1201.7114950400137
QF_LIA/bofill-scheduling/SMT_real_LIA/ex3920_2400_100.smt2,Yices2,1,0.22600584500469267
QF_LIA/nec-smt/large/checkpass_pwd/prp-24-34.smt2,Yices2,1,0.8508910569944419
QF_LIA/dillig/30-2.smt2,cvc5,1,0.23430886800633743
QF_LIA/rings_preprocessed/ring_2exp14_9vars_2ite_unsat.smt2,cvc5,1,0.2777040710061556
QF_LIA/20220307-SMPT/BART-PT-020/RC-05.smt2,Yices2,1,0.23379468100029044
QF_LIA/nec-smt/large/int_from_list/prp-47-49.smt2,Yices2,1,0.3426908999972511
QF_LIA/bofill-scheduling/SMT_random_LIA/ex9500_2600_100.smt2,Yices2,1,0.22022479699808173
QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/20-vars/cut_lemma_02_016.smt2.slack.smt2,Z3alpha,1,0.41587331099435687
QF_LIA/bofill-scheduling/SMT_real_LIA/ex5480_2400_100.smt2,Yices2,1,0.7782853810058441
QF_LIA/20220307-SMPT/Diffusion2D-PT-D30N010/RC-04.smt2,Yices2,1,0.22179297902039252
QF_LIA/tropical-matrix/constraint-797738.smt2,OpenSMT,0,1201.2346765429975
QF_LIA/20220307-SMPT/NeighborGrid-PT-d3n3m1t11/RF-11.smt2,Yices2,1,0.2139196729985997
QF_LIA/nec-smt/large/getoption_group/prp-41-47.smt2,Yices2,1,0.4196349760168232
QF_LIA/20220307-SMPT/Kanban-PT-00020/RC-15.smt2,Yices2,1,0.21012717499979772
QF_LIA/20220307-SMPT/RwMutex-PT-r0010w0100/RF-15.smt2,Yices2,1,0.22406380297616124
QF_LIA/20220307-SMPT/ERK-PT-000100/RF-05.smt2,Yices2,1,0.2133762160083279
QF_LIA/arctic-matrix/constraint-1360077.smt2,Yices2,1,7.9149297819822095
QF_LIA/dillig/25-14.smt2,cvc5,1,0.250174954009708
