benchmark,selected,solved,runtime
QF_NRA/hycomp/ball_count_2d_hill_simple.01.seq_lazy_lemmas_global_8.smt2,Yices2,True,0.2262033250008244
QF_NRA/meti-tarski/Chua/2/VC1/L/Chua-2-VC1-L-chunk-0081.smt2,Z3alpha,True,0.2722734870039858
QF_NRA/20161105-Sturm-MBO/mbo_E10E14.smt2,Yices2,False,1201.2203521080082
QF_NRA/meti-tarski/atan/problem/1/atan-problem-1-chunk-0098.smt2,Z3alpha,True,0.2687882730097044
QF_NRA/meti-tarski/exp/problem/10/3/weak/exp-problem-10-3-weak-chunk-0084.smt2,Yices2,True,0.21820134902372956
QF_NRA/meti-tarski/sin/cos/sin-cos-346-b-chunk-0388.smt2,Z3alpha,True,0.26803895700140856
QF_NRA/LassoRanker/CooperatingT2/polyrank4.t2.c_Iteration8_Loop_4-pieceTemplate.smt2,cvc5,True,67.43490044600912
QF_NRA/meti-tarski/sin/problem/7/sin-problem-7-chunk-0177.smt2,Z3alpha,True,0.26722388100461103
QF_NRA/meti-tarski/sqrt/1mcosq/8/sqrt-1mcosq-8-chunk-0291.smt2,Z3alpha,True,0.29680441500386223
QF_NRA/meti-tarski/atan/problem/2/weak2/atan-problem-2-weak2-chunk-0130.smt2,Yices2,True,0.2166798340040259
QF_NRA/LassoRanker/SV-COMP/NoriSharma-2013FSE-Fig8_true-termination.c_Iteration1_Lasso_7-phaseTemplate.smt2,Yices2,False,1201.2280737460242
QF_NRA/meti-tarski/sin/344/4/sin-344-4-chunk-0024.smt2,Z3alpha,True,0.27111756600788794
QF_NRA/hycomp/etcs_braking_2.01.redlog_global_13.smt2,Z3alpha,False,1201.7216043839871
QF_NRA/zankl/matrix-4-all-25.smt2,Yices2,False,1201.2507374790148
QF_NRA/LassoRanker/CooperatingT2/sas2.t2.c_Iteration7_Lasso_4-pieceTemplate.smt2,Yices2,False,1201.228664802009
QF_NRA/meti-tarski/sqrt/1mcosq/8/sqrt-1mcosq-8-chunk-0353.smt2,Yices2,True,0.21679803400184028
QF_NRA/20211101-Geogebra/IsoRightTriangle-Bottema1_9b.smt2,Z3alpha,True,0.2664240189769771
QF_NRA/LassoRanker/CooperatingT2/disj_nightmare.t2.c_Iteration1_Loop_2-pieceTemplate.smt2,Yices2,True,171.37499408100848
QF_NRA/hycomp/ball_count_2d_hill_simple.01.qfree_global_14.smt2,Yices2,True,0.22806859901174903
QF_NRA/20211101-Geogebra/Square-Diagonal_Side.smt2,Yices2,True,0.21762939498876221
QF_NRA/20161105-Sturm-MBO/mbo_E10E25.smt2,Yices2,False,1201.218592320016
QF_NRA/meti-tarski/polypaver/bench-sqrt-3d/polypaver-bench-sqrt-3d-chunk-0446.smt2,Z3alpha,True,0.270843377977144
QF_NRA/20161105-Sturm-MBO/mbo_E5E19.smt2,Yices2,True,0.3488273939874489
QF_NRA/20161105-Sturm-MBO/mbo_E5E17.smt2,cvc5,True,0.3389021389884874
QF_NRA/meti-tarski/exp/361/exp-361-neg-6-e-chunk-0216.smt2,Z3alpha,True,0.27603382099187
QF_NRA/meti-tarski/atan/problem/1/weak/atan-problem-1-weak-chunk-0028.smt2,Yices2,True,0.21793976001208648
QF_NRA/meti-tarski/exp/problem/10/3/exp-problem-10-3-chunk-0106.smt2,Z3alpha,True,0.26932622797903605
QF_NRA/meti-tarski/exp/problem/10/3/weak/exp-problem-10-3-weak-chunk-0011.smt2,Yices2,True,0.21730144901084714
QF_NRA/meti-tarski/sin/cos/sin-cos-346-b-chunk-0154.smt2,Yices2,True,0.21598606099723838
QF_NRA/20211101-Geogebra/IsoRightTriangle-Bottema1_1a.smt2,Yices2,True,0.21798125200439245
QF_NRA/hycomp/ball_count_2d_plain.04.redlog_global_8.smt2,SMT-RAT,True,1.1595912269840483
QF_NRA/hycomp/ball_count_1d_plain.10.seq_lazy_lemmas_global_15.smt2,Yices2,True,0.22347123798681423
QF_NRA/hycomp/ball_count_1d_plain.05.seq_lazy_linear_enc_lemmas_global_11.smt2,Yices2,True,0.24536120300763287
QF_NRA/meti-tarski/Chua/1/IL/L/Chua-1-IL-L-chunk-0046.smt2,Yices2,True,0.21846992199425586
QF_NRA/meti-tarski/atan/problem/2/atan-problem-2-chunk-0103.smt2,Yices2,True,0.21762899099849164
QF_NRA/hycomp/ball_count_2d_hill.01.redlog_global_11.smt2,cvc5,True,0.2846504480112344
QF_NRA/LassoRanker/CooperatingT2/matrixsqrt.t2.c_Iteration4_Loop_4-pieceTemplate.smt2,cvc5,True,1.2449530290032271
QF_NRA/meti-tarski/Nichols-Plot/Inverted-Pendulum/Nichols-Plot-Inverted-Pendulum-Fails-1-6-chunk-0147.smt2,Z3alpha,True,0.2676100099924952
QF_NRA/LassoRanker/SV-COMP/Ben-Amram-2010LMCS-Ex2.3_true-termination.c_Iteration1_Loop_4-lexTemplate.smt2,Yices2,True,5.180361909995554
QF_NRA/LassoRanker/Ultimate/ATVA2013-yPositive-int.bpl_Iteration1_Loop_3-pieceTemplate.smt2,cvc5,True,0.8870163400133606
QF_NRA/hycomp/ball_count_1d_plain.05.seq_lazy_global_8.smt2,Yices2,True,0.2235128890024498
QF_NRA/LassoRanker/CooperatingT2/loop_on_input.t2.c_Iteration1_Loop_4-pieceTemplate.smt2,cvc5,True,1.5249114920152351
QF_NRA/hycomp/ball_count_2d_hill_simple.01.qfree_global_13.smt2,Yices2,True,0.22271705599268898
QF_NRA/meti-tarski/Lyapunov/Lyapunov1a-chunk-0028.smt2,Z3alpha,True,0.2757115360000171
QF_NRA/meti-tarski/sqrt/problem/12vars3/sqrt-problem-12vars3-chunk-0098.smt2,Z3alpha,True,0.3140341849939432
QF_NRA/LassoRanker/CooperatingT2/curious4.t2.c_Iteration1_Lasso_3-pieceTemplate.smt2,Yices2,False,1201.3811522149772
QF_NRA/20161105-Sturm-MBO/mbo_E13E20.smt2,cvc5,True,0.605318565008929
QF_NRA/hycomp/ball_count_2d_plain.01.seq_lazy_linear_enc_lemmas_global_6.smt2,Yices2,True,0.2511677289730869
QF_NRA/hycomp/ball_count_1d_plain.02.seq_lazy_linear_enc_global_10.smt2,Yices2,True,0.24701106201973744
QF_NRA/20180501-Economics-Mulligan/MulliganEconomicsModel0067e.smt2,SMT-RAT,True,0.22738868099986576
