path,SMTInterpol,,Yices2,,Z3alpha,,cvc5,
,result,runtime,result,runtime,result,runtime,result,runtime
QF_NIA/20170427-VeryMax/ITS/From_T2__consts4nt.t2_fixed__p18268_terminationG_0.smt2,0,0.4853248510044068,0,1201.2502301859204,0,1201.713736361824,0,1201.7276146209333
QF_NIA/20170427-VeryMax/ITS/From_T2__n-1d.t2__p3783_edge_closing_0.smt2,0,0.5002102520084009,0,1201.2664278419688,1,0.47193820495158434,1,0.36481621908023953
QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__GCD2.c__p23112_terminationG_0.smt2,0,0.7634898520773277,0,1201.2857716118451,1,612.4344462691806,1,782.7350739699323
QF_NIA/20170427-VeryMax/ITS/From_T2__mc91.t2__p2805_terminationG_0.smt2,0,0.6165745829930529,1,0.36579333315603435,1,12.695961485849693,1,1.6842052200809121
QF_NIA/20170427-VeryMax/ITS/From_T2__edn.t2__p20268_safety_0.smt2,0,0.5747289709979668,1,1.180230804020539,1,28.69150408403948,1,573.3270035870373
QF_NIA/20170427-VeryMax/ITS/From_T2__ex36.t2__p28130_safety_0.smt2,0,0.530023469007574,1,0.27411883091554046,1,3.6161429879721254,1,420.5287181029562
QF_NIA/20170427-VeryMax/ITS/From_T2__svdcmp.c.i.svdcmp.pl.t2.fixed.t2__terminationS_23_0.smt2,0,1.5416180159663782,1,0.2961981650441885,1,3.106281270040199,1,3.927621397888288
QF_NIA/calypto/problem-000032.cvc.1.smt2,0,0.43789622001349926,1,0.2411336509976536,1,0.6586334600578994,1,0.2516169701702893
QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__ChenFlurMukhopadhyay-SAS2012-Ex3.06_false-termination.c__p22004_terminationG_0.smt2,0,0.7683971769874915,1,3.6735485640820116,1,1.8438987999688834,1,550.940713546006
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p6216_safety_0.smt2,0,0.9401792279677466,1,0.905088874977082,1,0.8058954421430826,0,1201.752754444955
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__Round3.jar-obl-8__p11899_terminationG_0.smt2,0,0.5468883729772642,0,1201.2433529701084,0,1201.7137786389794,0,1201.7470141889062
QF_NIA/20170427-VeryMax/SAT14/1644.smt2,0,0.9579703869530931,1,0.335280244005844,1,0.5266573610715568,1,2.153150353813544
QF_NIA/20170427-VeryMax/SAT14/39.smt2,0,0.6593538110610098,1,0.25928018684498966,1,0.3416471329983324,1,0.27186982287093997
QF_NIA/20170427-VeryMax/ITS/From_T2__s1-striped.t2_fixed__p9659_safety_0.smt2,0,0.967419488937594,0,1201.3055011190008,1,10.141267828876153,1,4.590497373836115
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateSize.jar-obl-10__p7411_safety_0.smt2,0,0.8347828219411895,1,0.33172933803871274,1,1.0658686950337142,1,432.37385896313936
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p2675_safety_0.smt2,0,0.9010736199561507,0,1201.2243307339959,0,1201.716583212139,0,1201.7393186339177
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__Velroyen08-convLower.jar-obl-8__p13467_terminationG_0.smt2,0,0.5084060450317338,0,1201.243343380047,0,1201.7176039309707,0,1201.72984640114
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateRemove.jar-obl-11__p6843_safety_0.smt2,0,0.8033660289365798,1,0.41266683489084244,1,0.3742835009470582,1,3.159890711074695
QF_NIA/20170427-VeryMax/ITS/From_T2__slayer-3.t2_fixed__terminationS_1_0.smt2,0,1.5036831450415775,1,0.2641592069994658,1,7.624483976978809,1,3.6276803899090737
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreate.jar-obl-10__p5127_safety_0.smt2,0,0.9123968079220504,1,1.8380108422134072,1,23.12995745916851,0,1201.7140123760328
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreate.jar-obl-10__p5121_safety_0.smt2,0,0.7591611299430951,1,0.24349723290652037,1,5.979454827029258,1,422.7285903249867
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p5864_safety_0.smt2,0,0.9137792730471119,1,0.42582575301639736,1,1.098210683092475,1,0.8490352740045637
QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__ChenFlurMukhopadhyay-SAS2012-Ex3.06_false-termination.c__p21883_terminationG_0.smt2,0,0.5430178679525852,1,0.5277793491259217,1,7.648915263824165,1,558.4028574391268
QF_NIA/AProVE/aproveSMT7318002543240886477.smt2,0,0.5022888509556651,1,0.22678266395814717,1,0.908786348067224,1,0.27708529704250395
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__Velroyen08-ex08.jar-obl-8__p13747_terminationG_0.smt2,0,0.7462270529940724,0,1201.2198247329798,0,1201.7181785919238,0,1201.7125918800011
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateClear.jar-obl-11__p30137_safety_0.smt2,0,0.8175413829740137,1,0.2539076909888536,1,0.48555255704559386,1,0.9795830370858312
QF_NIA/20170427-VeryMax/ITS/From_T2__mc91.t2__p2764_terminationG_0.smt2,0,0.8980744529981166,1,1.9594844859093428,1,18.598291301866993,1,526.7847771300003
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateContainsKey.jar-obl-11__p31549_safety_0.smt2,0,0.8059007870033383,1,73.58558500790969,1,0.8529702799860388,0,1201.7124158791266
QF_NIA/20170427-VeryMax/SAT14/1478.smt2,0,2.0597368360031396,1,91.30589647195302,1,1.2086126441136003,1,1.3300619998481125
QF_NIA/20170427-VeryMax/ITS/From_T2__consts1nt.t2__p17932_terminationG_0.smt2,0,0.4960873349336907,0,1201.256958174985,1,122.97194764902815,0,1201.741996641038
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateRemove.jar-obl-11__p6908_safety_0.smt2,0,1.1299199319910258,1,0.36368701700121164,1,1.0795899201184511,1,13.981926252134144
QF_NIA/20170427-VeryMax/ITS/From_T2__streamserver-succeed.t2__p24721_terminationG_0.smt2,0,1.0805897290119901,0,1201.264197489014,0,1201.715463342145,0,1201.725226182025
QF_NIA/20170427-VeryMax/ITS/From_T2__s1.t2__p19701_safety_0.smt2,0,0.48796649498399347,1,0.4427392960060388,1,1.461207402870059,1,0.8837133708875626
QF_NIA/20170427-VeryMax/ITS/From_T2__pentagon.t2__p7193_edge_closing_0.smt2,0,0.7610184130026028,0,1201.256127210101,0,1201.7152188080363,0,1201.7301974620204
QF_NIA/20170427-VeryMax/ITS/From_T2__s1-striped.t2__p12977_safety_0.smt2,0,0.9527496820082888,1,0.6035822511184961,1,5.779606306925416,1,566.8522121871356
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__CyclicalListDuplicate.jar-obl-9__p28415_terminationG_0.smt2,0,0.7982193359639496,0,1201.2417538249865,0,1201.7164282980375,0,1201.7161714271642
