benchmark,selected
QF_BV/spear/samba_v3.0.24/bin_libsmbsharemodes_vc5786.smt2,Yices2
QF_BV/20221012-MCMPC/millionaires/millionaires.t1.i29.acf41238.smt2,Yices2
QF_BV/Sage2/bench_5854.smt2,Yices2
QF_BV/20210219-Sydr/master/cjpeg/predicate_382.smt2,STP
QF_BV/20210219-Sydr/master/cjpeg/predicate_427.smt2,STP
QF_BV/uclid/catchconv/convert-jpg2gif-query-1192.smt2,Yices2
QF_BV/20221012-MCMPC/millionaires/millionaires.t1.i23.65a24f6e.smt2,STP
QF_BV/sage/app1/bench_69.smt2,Yices2
QF_BV/float/mul_03_30_1.smt2,Bitwuzla
QF_BV/sage/app7/bench_2209.smt2,Bitwuzla
QF_BV/sage/app7/bench_1941.smt2,Bitwuzla
QF_BV/20221214-p4dfa-XiaoqiChen/Composition/compose.s2._bit8_na6_nr3_paired.smt2,Yices2
QF_BV/20210312-Bouvier/vlsat3_a31.smt2,Bitwuzla
QF_BV/20221214-p4dfa-XiaoqiChen/StringMatching/string1x8.5._bit8_na6_nr3_paired.smt2,Yices2
QF_BV/spear/samba_v3.0.24/bin_libsmbsharemodes_vc6158.smt2,Yices2
QF_BV/spear/samba_v3.0.24/bin_libsmbsharemodes_vc4326.smt2,Yices2
QF_BV/sage/app1/bench_1692.smt2,Yices2
QF_BV/Sage2/bench_8512.smt2,Yices2
QF_BV/log-slicing/bvsmod_20.smt2,STP
QF_BV/uclid/catchconv/convert-jpg2gif-query-1148.smt2,Yices2
QF_BV/Sage2/bench_9009.smt2,Bitwuzla
QF_BV/Sage2/bench_10595.smt2,STP
QF_BV/sage/app11/bench_235.smt2,STP
QF_BV/Sage2/bench_17195.smt2,STP
QF_BV/sage/app1/bench_1984.smt2,Yices2
QF_BV/sage/app1/bench_2624.smt2,Yices2
QF_BV/sage/app9/bench_1144.smt2,STP
QF_BV/sage/app11/bench_171.smt2,STP
QF_BV/Sage2/bench_10608.smt2,Yices2
QF_BV/20221012-MCMPC/dualexecution_affine/dualexecution_affine.t1.i2.7946e042.smt2,Yices2
QF_BV/Sage2/bench_15241.smt2,Yices2
QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1267.smt2,Bitwuzla
QF_BV/Sage2/bench_9361.smt2,Yices2
QF_BV/sage/app7/bench_1564.smt2,Bitwuzla
QF_BV/20221012-MCMPC/millionaires/millionaires.t1.i49.e633b004.smt2,STP
QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_479.smt2,STP
QF_BV/20221012-MCMPC/millionaires/millionaires.t1.i59.ef8e4316.smt2,Yices2
QF_BV/20221012-MCMPC/dualexecution_affine/dualexecution_affine.t1.i9.dcebe9dc.smt2,Yices2
QF_BV/Sage2/bench_7805.smt2,Yices2
QF_BV/20221012-MCMPC/mean_buckets/mean_buckets.t1.i13.9809b2f2.smt2,Yices2
QF_BV/20221012-MCMPC/millionaires/millionaires.t1.i32.632a8913.smt2,STP
QF_BV/20221012-MCMPC/millionaires/millionaires.t1.i23.ef77aab8.smt2,STP
QF_BV/spear/samba_v3.0.24/bin_eventlogadm_vc351376.smt2,Yices2
QF_BV/spear/samba_v3.0.24/bin_libsmbsharemodes_vc7132.smt2,Yices2
QF_BV/20221012-MCMPC/mean_buckets/mean_buckets.t1.i18.375df19c.smt2,Yices2
QF_BV/Sage2/bench_3772.smt2,Z3-alpha
QF_BV/Sage2/bench_11101.smt2,Bitwuzla
QF_BV/Sage2/bench_11303.smt2,Yices2
QF_BV/Sage2/bench_17480.smt2,Yices2
QF_BV/Sage2/bench_12544.smt2,Yices2
QF_BV/Sage2/bench_7089.smt2,Yices2
QF_BV/spear/inn_v2.4.3/innfeed_imapfeed_vc25420.smt2,Z3-alpha
QF_BV/20221012-MCMPC/millionaires/millionaires.t1.i42.d33e3ea0.smt2,STP
QF_BV/sage/app11/bench_482.smt2,STP
QF_BV/sage/app1/bench_611.smt2,Yices2
QF_BV/bruttomesso/core/ext_con_040_004_0032.smt2,cvc5
QF_BV/Sage2/bench_2345.smt2,Yices2
QF_BV/sage/app8/bench_539.smt2,Yices2
QF_BV/spear/samba_v3.0.24/bin_eventlogadm_vc331250.smt2,Yices2
QF_BV/Sage2/bench_1137.smt2,Z3-alpha
QF_BV/sage/app7/bench_1409.smt2,Bitwuzla
