benchmark,selected
QF_IDL/20210312-Bouvier/vlsat3_i15.smt2,Z3-alpha
QF_IDL/RTCL/b13_tf_15/ckt_PROP5_tf_15.smt2,Yices2
QF_IDL/job_shop/jobshop58-2-29-29-2-4-12.smt2,Yices2
QF_IDL/mathsat/post_office/PO4-9-PO4.smt2,Yices2
QF_IDL/planning/plan-46.cvc.smt2,Yices2
QF_IDL/schedulingIDL/j6_per0_0_mkspan1068.smt2,Yices2
QF_IDL/queens_bench/n_queen/queen66-1.smt2,Yices2
QF_IDL/diamonds/diamonds.14.2.i.a.u.smt2,Yices2
QF_IDL/schedulingIDL/tai_15x15_4_mkspan941.smt2,Yices2
QF_IDL/parity/08.100.graph.smt2,Yices2
QF_IDL/asp/BlockedNQueens/156.48.1960.36.1721325949.dat.smt2,Z3-alpha
QF_IDL/parity/06.400.graph.smt2,Yices2
QF_IDL/asp/WeightBoundedDominatingSet/rand_150_600_1159731678_17.lp.smt2,Z3-alpha
QF_IDL/schedulingIDL/j8_per0_1_mkspan1048.smt2,Yices2
QF_IDL/asp/HamiltonianPath/gryzzles.30.lp.smt2,Z3-alpha
QF_IDL/asp/GraphPartitioning/rand_25_200_1235404333_0_k=5_v=5_e=4_unsat.gph.smt2,Z3-alpha
QF_IDL/asp/SchurNumbers/20.11.schur.lp.smt2,Z3-alpha
QF_IDL/schedulingIDL/tai_20x20_8_mkspan1174.smt2,Yices2
QF_IDL/qlock/qlock-4-10-23.base.cvc.smt2,Yices2
QF_IDL/asp/WeightBoundedDominatingSet/rand_100_400_1159666138_8.lp.smt2,Z3-alpha
QF_IDL/queens_bench/n_queen/queen96-1.smt2,Yices2
QF_IDL/parity/06.100.graph.smt2,Yices2
QF_IDL/asp/Solitaire/solitaire-asymmetric-time=25.smt2,Z3-alpha
QF_IDL/schedulingIDL/tai_15x15_10_mkspan902.smt2,Yices2
QF_IDL/asp/TravellingSalesperson/tsp_rand_70_300_1155482584_0.lp.smt2,Z3-alpha
QF_IDL/asp/Hanoi/mgs_towers-hanoi.32_7.smt2,Z3-alpha
QF_IDL/schedulingIDL/tai_20x20_7_mkspan1296.smt2,Yices2
QF_IDL/parity/14.100.graph.smt2,Yices2
QF_IDL/20220214-jobshop-BohanLi/jobshop56-2-28-28-4-4-16.smt2,Yices2
QF_IDL/qlock/qlock-4-10-25.base.cvc.smt2,Yices2
QF_IDL/20210312-Bouvier/vlsat3_c84.smt2,Z3-alpha
QF_IDL/parity/01.300.graph.smt2,Yices2
QF_IDL/queens_bench/n_queen/queen38-1.smt2,Yices2
QF_IDL/queens_bench/super_queen/super_queen93-1.smt2,Yices2
QF_IDL/asp/GraphColouring/graph-colouring-nodes=125-density=0.1-instance=4.smt2,Z3-alpha
QF_IDL/Averest/insertion_sort/InsertionSort_live_bgmc011.smt2,Yices2
QF_IDL/RTCL/b01_tf_15/ckt_PROP0_tf_15.smt2,Yices2
QF_IDL/parity/21.200.graph.smt2,Yices2
QF_IDL/asp/SchurNumbers/15.8.schur.lp.smt2,Z3-alpha
QF_IDL/asp/GeneralizedSlitherlink/penrose.35.asp.smt2,Z3-alpha
QF_IDL/20210312-Bouvier/vlsat3_i09.smt2,Z3-alpha
QF_IDL/Averest/linear_search/LinearSearch_live_bgmc002.smt2,Yices2
QF_IDL/asp/Sokoban/duthen-990602.52.steps.15.asp.smt2,Z3-alpha
QF_IDL/20210312-Bouvier/vlsat3_c27.smt2,Z3-alpha
QF_IDL/job_shop/jobshop18-2-9-9-2-4-12.smt2,Yices2
QF_IDL/20210312-Bouvier/vlsat3_c39.smt2,Z3-alpha
QF_IDL/parity/09.400.graph.smt2,Yices2
QF_IDL/schedulingIDL/tai_20x20_6_mkspan1225.smt2,Yices2
QF_IDL/sal/bakery/inf-bakery-mutex-13.smt2,Yices2
QF_IDL/asp/Solitaire/solitaire-edge-time=27.smt2,Z3-alpha
QF_IDL/Averest/buble_sort/BubbleSort_live_blmc007.smt2,Yices2
QF_IDL/queens_bench/toroidal_bench/toroidal_queen27-1.smt2,SMTInterpol
QF_IDL/20220214-jobshop-BohanLi/jobshop58-2-29-29-4-4-16.smt2,Yices2
QF_IDL/schedulingIDL/tai_20x20_6_mkspan1547.smt2,Yices2
QF_IDL/queens_bench/toroidal_bench/toroidal_queen13-1.smt2,SMTInterpol
QF_IDL/schedulingIDL/j8_per10_1_mkspan1002.smt2,Yices2
QF_IDL/parity/14.200.graph.smt2,Yices2
QF_IDL/queens_bench/toroidal_bench/toroidal_queen47-1.smt2,SMTInterpol
QF_IDL/queens_bench/super_queen/super_queen33-1.smt2,Yices2
QF_IDL/20210312-Bouvier/vlsat3_c24.smt2,Z3-alpha
QF_IDL/asp/BlockedNQueens/156.48.1960.36.1721347806.dat.smt2,Z3-alpha
QF_IDL/qlock/qlock-4-10-20.base.cvc.smt2,Yices2
QF_IDL/mathsat/post_office/PO2-4-PO2.smt2,Yices2
QF_IDL/queens_bench/toroidal_bench/toroidal_queen43-1.smt2,SMTInterpol
QF_IDL/job_shop/jobshop56-2-28-28-4-4-12.smt2,Yices2
QF_IDL/asp/TravellingSalesperson/rand_80_340_1159656267_18.lp.smt2,Z3-alpha
QF_IDL/asp/HamiltonianPath/gryzzles.46.lp.smt2,Z3-alpha
QF_IDL/RTCL/b13_tf_15/ckt_PROP3_tf_15.smt2,Yices2
QF_IDL/schedulingIDL/tai_15x15_10_mkspan904.smt2,Yices2
QF_IDL/mathsat/fischer/FISCHER9-6-ninc.smt2,Yices2
QF_IDL/queens_bench/toroidal_bench/toroidal_queen93-1.smt2,SMTInterpol
QF_IDL/parity/22.300.graph.smt2,Yices2
QF_IDL/qlock/qlock-4-10-27.base.cvc.smt2,Yices2
QF_IDL/planning/plan-22.cvc.smt2,Yices2
QF_IDL/Averest/sorting_network/SortingNetwork4_live_blmc003.smt2,Yices2
QF_IDL/job_shop/jobshop30-2-15-15-4-4-12.smt2,Yices2
QF_IDL/20220214-jobshop-BohanLi/jobshop32-2-16-16-4-4-16.smt2,Yices2
QF_IDL/parity/09.200.graph.smt2,Yices2
QF_IDL/asp/WeightBoundedDominatingSet/rand_100_400_1159666138_6.lp.smt2,Z3-alpha
QF_IDL/diamonds/diamonds.15.10.i.a.u.smt2,Yices2
QF_IDL/schedulingIDL/j7_per10_2_mkspan1012.smt2,Yices2
QF_IDL/asp/GraphColouring/graph-colouring-nodes=130-density=0.1-instance=7.smt2,Z3-alpha
QF_IDL/schedulingIDL/j8_per20_2_mkspan1000.smt2,Yices2
QF_IDL/queens_bench/super_queen/super_queen98-1.smt2,Yices2
QF_IDL/asp/ConnectedDominatingSet/rand_55_250_1235855873_0_k=8_sat.gph.smt2,Yices2
QF_IDL/diamonds/diamonds.11.2.i.a.u.smt2,Yices2
QF_IDL/asp/15Puzzle/15puzzle_ins.lp.smt2,Z3-alpha
QF_IDL/queens_bench/n_queen/queen100-1.smt2,Yices2
QF_IDL/schedulingIDL/tai_15x15_9_mkspan914.smt2,Yices2
QF_IDL/schedulingIDL/tai_15x15_9_mkspan899.smt2,Yices2
QF_IDL/20210312-Bouvier/vlsat3_i85.smt2,Z3-alpha
QF_IDL/queens_bench/toroidal_bench/toroidal_queen11-1.smt2,Yices2
QF_IDL/asp/ConnectedDominatingSet/rand_40_200_1235844018_0_k=4_unsat.gph.smt2,Yices2
QF_IDL/schedulingIDL/j8_per10_2_mkspan1010.smt2,Yices2
QF_IDL/qlock/qlock-4-10-29.induction.cvc.smt2,Yices2
QF_IDL/asp/TravellingSalesperson/tsp_rand_70_300_1155482584_9.lp.smt2,Z3-alpha
QF_IDL/schedulingIDL/gp10_05_mkspan1070.smt2,Yices2
QF_IDL/schedulingIDL/tai_15x15_7_mkspan906.smt2,Yices2
QF_IDL/asp/Sudoku/sudoku.in6.smt2,Z3-alpha
QF_IDL/mathsat/fischer/FISCHER14-3-ninc.smt2,Yices2
QF_IDL/20220214-jobshop-BohanLi/jobshop18-4-9-9-4-4-32.smt2,Yices2
QF_IDL/schedulingIDL/tai_20x20_3_mkspan1266.smt2,Yices2
QF_IDL/qlock/qlock-4-10-10.base.cvc.smt2,Yices2
QF_IDL/RTCL/b13_tf_30/ckt_PROP2_tf_30.smt2,Yices2
QF_IDL/schedulingIDL/tai_20x20_7_mkspan1294.smt2,Yices2
QF_IDL/schedulingIDL/j6_per0_0_mkspan1051.smt2,Yices2
QF_IDL/RTCL/b13_tf_10/ckt_PROP5_tf_10.smt2,Yices2
QF_IDL/planning/plan-42.cvc.smt2,Yices2
QF_IDL/schedulingIDL/j8_per0_1_mkspan1053.smt2,Yices2
QF_IDL/asp/SchurNumbers/15.16.schur.lp.smt2,Z3-alpha
QF_IDL/parity/04.200.graph.smt2,Yices2
QF_IDL/schedulingIDL/tai_20x20_1_mkspan1201.smt2,Yices2
QF_IDL/asp/WeightBoundedDominatingSet/rand_200_800_1159728969_11.lp.smt2,Z3-alpha
QF_IDL/20210312-Bouvier/vlsat3_c33.smt2,Z3-alpha
QF_IDL/asp/WeightBoundedDominatingSet/rand_200_800_1159728969_6.lp.smt2,Z3-alpha
QF_IDL/asp/BlockedNQueens/156.48.1960.36.1721262093.dat.smt2,Z3-alpha
QF_IDL/Averest/selection_sort/SelectionSort_safe_bgmc003.smt2,Yices2
QF_IDL/Averest/partition/Partition_live_bgmc002.smt2,Yices2
QF_IDL/schedulingIDL/tai_15x15_2_mkspan933.smt2,Yices2
QF_IDL/Averest/parallel_search/ParallelSearch_safe_blmc000.smt2,Yices2
QF_IDL/queens_bench/toroidal_bench/toroidal_queen25-1.smt2,SMTInterpol
QF_IDL/queens_bench/super_queen/super_queen61-1.smt2,Yices2
QF_IDL/asp/WeightBoundedDominatingSet/rand_100_400_1159666138_7.lp.smt2,Z3-alpha
QF_IDL/schedulingIDL/j8_per10_0_mkspan1024.smt2,Yices2
QF_IDL/job_shop/jobshop12-2-6-6-4-4-12.smt2,Yices2
QF_IDL/queens_bench/n_queen/queen62-1.smt2,Yices2
QF_IDL/asp/Sokoban/duthen-990602.73.steps.9.asp.smt2,Z3-alpha
QF_IDL/job_shop/jobshop50-2-25-25-4-4-12.smt2,Yices2
QF_IDL/queens_bench/super_queen/super_queen26-1.smt2,Yices2
QF_IDL/planning/plan-16.cvc.smt2,Yices2
QF_IDL/20210312-Bouvier/vlsat3_i11.smt2,Z3-alpha
QF_IDL/queens_bench/n_queen/queen73-1.smt2,Yices2
QF_IDL/schedulingIDL/j7_per10_0_mkspan1012.smt2,Yices2
QF_IDL/asp/GeneralizedSlitherlink/penrose.12.asp.smt2,Z3-alpha
QF_IDL/mathsat/fischer/FISCHER9-10-ninc.smt2,Yices2
QF_IDL/qlock/qlock-4-10-34.base.cvc.smt2,Yices2
QF_IDL/job_shop/jobshop16-2-8-8-2-4-9.smt2,Yices2
QF_IDL/job_shop/jobshop22-2-11-11-2-4-9.smt2,Yices2
QF_IDL/asp/TravellingSalesperson/tsp_rand_70_300_1155482584_7.lp.smt2,Z3-alpha
QF_IDL/queens_bench/n_queen/queen28-1.smt2,Yices2
QF_IDL/qlock/qlock-4-10-21.induction.cvc.smt2,Yices2
QF_IDL/Averest/insertion_sort/InsertionSort_live_blmc005.smt2,Yices2
