benchmark,selected
QF_LIA/convert/convert-jpg2gif-query-1149.smt2,Z3-alpha
QF_LIA/nec-smt/med/config_read_line/prp-0-46.smt2,Yices2
QF_LIA/nec-smt/large/checkpass_pwd/prp-39-39.smt2,Yices2
QF_LIA/nec-smt/large/getoption_group/prp-1-47.smt2,Yices2
QF_LIA/tropical-matrix/constraint-1285151.smt2,OpenSMT
QF_LIA/tropical-matrix/constraint-642278.smt2,OpenSMT
QF_LIA/rings_preprocessed/ring_2exp6_5vars_1ite_unsat.smt2,OpenSMT
QF_LIA/20220307-SMPT/Diffusion2D-PT-D40N100/RF-07.smt2,Yices2
QF_LIA/20220307-SMPT/Diffusion2D-PT-D05N200/RF-03.smt2,Yices2
QF_LIA/20220307-SMPT/SharedMemory-PT-000050/RF-15.smt2,Yices2
QF_LIA/20220307-SMPT/RwMutex-PT-r0100w0010/RC-04.smt2,Yices2
QF_LIA/CAV_2009_benchmarks/smt/25-vars/problem__026.smt2,cvc5
QF_LIA/nec-smt/large/handler_sigchld/prp-10-48.smt2,Yices2
QF_LIA/20220307-SMPT/Diffusion2D-PT-D10N100/RF-02.smt2,Yices2
QF_LIA/CAV_2009_benchmarks/smt/35-vars/problem_2__011.smt2,cvc5
QF_LIA/20220307-SMPT/RwMutex-PT-r0020w0010/RF-10.smt2,Yices2
QF_LIA/nec-smt/large/checkpass/prp-8-47.smt2,Yices2
QF_LIA/nec-smt/large/int_from_list/prp-60-49.smt2,Yices2
QF_LIA/CAV_2009_benchmarks/smt/45-vars/problem__027.smt2,cvc5
QF_LIA/20220307-SMPT/RwMutex-PT-r0100w0010/RC-01.smt2,Yices2
QF_LIA/20220307-SMPT/Referendum-PT-1000/RC-13.smt2,Yices2
QF_LIA/2019-cmodelsdiff/randomNontight/n40-sat-b15.lp.smt2,Z3-alpha
QF_LIA/cut_lemmas/20-vars/cut_lemma_02_012.smt2,OpenSMT
QF_LIA/20220307-SMPT/HouseConstruction-PT-00500/RC-13.smt2,Yices2
QF_LIA/20220307-SMPT/Diffusion2D-PT-D30N010/RC-02.smt2,Yices2
QF_LIA/nec-smt/large/getoption_user/prp-8-47.smt2,Yices2
QF_LIA/nec-smt/med/int_from_list/prp-21-39.smt2,Yices2
QF_LIA/bofill-scheduling/SMT_random_LIA/ex26400_2600_100.smt2,OpenSMT
