path,size
BV/20210330-PEak/no-extern-loop_sat_subset/hard1.smt2,113939456
BV/20210330-PEak/extern-loop_sat_subset/medium0.smt2,91891586
BV/20210330-PEak/extern-loop_sat_subset/hard1.smt2,39158532
BV/20210330-PEak/no-extern-loop_sat_subset/medium0.smt2,15051510
BV/20210330-PEak/extern-loop_unsat_subset/medium.smt2,11234473
BV/20210330-PEak/extern-loop_sat_subset/hard0.smt2,9373158
BV/20210330-PEak/no-extern-loop_unsat_subset/hard.smt2,8725610
BV/20210330-PEak/no-extern-loop_sat_subset/medium1.smt2,7177992
BV/20210330-PEak/no-extern-loop_sat_subset/medium2.smt2,7177566
BV/20210330-PEak/extern-loop_sat_subset/medium2.smt2,5425307
BV/20210330-PEak/no-extern-loop_sat_subset/easy4.smt2,1374187
BV/wintersteiger/fmsd13/fixpoint/sdlx-fixpoint-10.smt2,779152
BV/wintersteiger/fmsd13/fixpoint/ethernet-fixpoint-4.smt2,595394
BV/20210301-Alive2/oggenc/363_oggenc.smt2,506452
BV/20210301-Alive2/oggenc/283_oggenc.smt2,504159
BV/20210330-PEak/extern-loop_unsat_subset/easy.smt2,494633
BV/wintersteiger/fmsd13/fixpoint/sdlx-fixpoint-6.smt2,453102
BV/wintersteiger/fmsd13/fixpoint/cache-coherence-2-fixpoint-6.smt2,448716
BV/wintersteiger/fmsd13/fixpoint/ethernet-fixpoint-3.smt2,435716
BV/20210301-Alive2/oggenc/386_oggenc.smt2,389974
BV/wintersteiger/fmsd13/fixpoint/cache-coherence-3-fixpoint-3.smt2,331770
BV/20210330-PEak/no-extern-loop_unsat_subset/medium.smt2,322940
BV/wintersteiger/fmsd13/fixpoint/usb-phy-fixpoint-4.smt2,241623
BV/20210330-PEak/no-extern-loop_sat_subset/easy1.smt2,224710
BV/wintersteiger/fmsd13/fixpoint/itc-b13-fixpoint-9.smt2,223034
BV/wintersteiger/fmsd13/fixpoint/itc-b13-fixpoint-8.smt2,197358
BV/wintersteiger/fmsd13/fixpoint/itc-b13-fixpoint-7.smt2,171682
BV/20230321-UltimateAutomizerSvcomp2023/btor2c-lazyMod.protocols.1.prop1-func-interl.c_0.smt2,161541
BV/wintersteiger/fmsd13/fixpoint/itc-b13-fixpoint-6.smt2,146006
BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_4_66.smt2,132228
BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_4_62.smt2,116394
BV/2017-Preiner-scholl-smt08/RND/RND_6_36.smt2,106951
BV/2017-Preiner-scholl-smt08/RND/RND_6_40.smt2,85093
BV/20210330-PEak/no-extern-loop_unsat_subset/easy.smt2,65510
BV/2017-Preiner-psyco/137.smt2,57960
BV/2017-Preiner-scholl-smt08/RND/RND_6_33.smt2,57703
BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_4_52.smt2,52092
BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_4_55.smt2,51234
BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_3_60.smt2,44451
BV/2017-Preiner-scholl-smt08/RND/RND_6_21.smt2,43063
BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_3_56.smt2,42906
BV/20230321-UltimateAutomizerSvcomp2023/btor2c-eagerMod.bakery.1.prop1-func-interl.c_11.smt2,41635
BV/20230321-UltimateAutomizerSvcomp2023/btor2c-eagerMod.bakery.1.prop1-func-interl.c_10.smt2,41625
BV/20230321-UltimateAutomizerSvcomp2023/btor2c-eagerMod.bakery.1.prop1-func-interl.c_4.smt2,41617
