path,size
QF_IDL/asp/DisjunctiveScheduling/disjunctiveScheduling.in9.smt2,56092874
QF_IDL/asp/DisjunctiveScheduling/disjunctiveScheduling.in7.smt2,49193506
QF_IDL/asp/Labyrinth/laby_22_22_08.lp.smt2,48727083
QF_IDL/asp/Labyrinth/laby_22_22_19.lp.smt2,48505890
QF_IDL/asp/Labyrinth/laby_21_21_05.lp.smt2,42233656
QF_IDL/asp/Labyrinth/laby_21_21_12.lp.smt2,42141001
QF_IDL/asp/Labyrinth/laby_21_21_18.lp.smt2,41463591
QF_IDL/asp/Labyrinth/laby_21_21_07.lp.smt2,41036025
QF_IDL/asp/Labyrinth/laby_21_21_01.lp.smt2,40574043
QF_IDL/asp/Labyrinth/laby_20_20_04.lp.smt2,36142335
QF_IDL/asp/Labyrinth/laby_19_19_16.lp.smt2,30883136
QF_IDL/asp/Labyrinth/laby_19_19_14.lp.smt2,30873053
QF_IDL/asp/Labyrinth/laby_19_19_19.lp.smt2,30868871
QF_IDL/asp/Labyrinth/laby_18_18_14.lp.smt2,26213807
QF_IDL/asp/Labyrinth/laby_18_18_13.lp.smt2,26165352
QF_IDL/asp/Labyrinth/laby_17_17_09.lp.smt2,21045455
QF_IDL/asp/EdgeMatching/edge-matching-width=10-height=10-colours=13.smt2,21021193
QF_IDL/asp/KnightTour/knightTour.in10.smt2,20919611
QF_IDL/asp/EdgeMatching/edge-matching-width=10-height=10-colours=11.smt2,20232613
QF_IDL/asp/EdgeMatching/edge-matching-width=10-height=10-colours=9.smt2,19574441
QF_IDL/asp/EdgeMatching/edge-matching-width=10-height=10-colours=8.smt2,19293951
QF_IDL/asp/EdgeMatching/edge-matching-width=10-height=10-colours=5.smt2,18645681
QF_IDL/20210312-Bouvier/vlsat3_i97.smt2,15644933
QF_IDL/20210312-Bouvier/vlsat3_i57.smt2,15472398
QF_IDL/20210312-Bouvier/vlsat3_i99.smt2,15229840
QF_IDL/20210312-Bouvier/vlsat3_i77.smt2,14816908
QF_IDL/20210312-Bouvier/vlsat3_i79.smt2,14005189
QF_IDL/asp/EdgeMatching/edge-matching-width=9-height=9-colours=12.smt2,13699451
QF_IDL/20210312-Bouvier/vlsat3_i81.smt2,13670676
QF_IDL/20210312-Bouvier/vlsat3_i96.smt2,13582102
QF_IDL/20210312-Bouvier/vlsat3_i82.smt2,13426611
QF_IDL/asp/KnightTour/knightTour.in08.smt2,13147182
QF_IDL/asp/EdgeMatching/edge-matching-width=9-height=9-colours=10.smt2,13124422
QF_IDL/20210312-Bouvier/vlsat3_i62.smt2,12878128
QF_IDL/asp/EdgeMatching/edge-matching-width=9-height=9-colours=9.smt2,12875831
QF_IDL/20210312-Bouvier/vlsat3_i63.smt2,12771721
QF_IDL/asp/EdgeMatching/edge-matching-width=9-height=9-colours=8.smt2,12653371
QF_IDL/20210312-Bouvier/vlsat3_i73.smt2,12482053
QF_IDL/20210312-Bouvier/vlsat3_i51.smt2,12373598
QF_IDL/asp/EdgeMatching/edge-matching-width=9-height=9-colours=6.smt2,12297769
QF_IDL/asp/WireRouting/wire.17.x.17.b.10.a.25_unsat.data.smt2,10399242
QF_IDL/asp/WireRouting/wire.16.x.16.b.5.a.30_sat.data.smt2,10284066
QF_IDL/20210312-Bouvier/vlsat3_i50.smt2,10081846
QF_IDL/asp/EdgeMatching/edge-matching-width=8-height=8-colours=12.smt2,8785753
QF_IDL/parity/19.800.graph.smt2,8592684
QF_IDL/asp/EdgeMatching/edge-matching-width=8-height=8-colours=11.smt2,8562403
QF_IDL/parity/12.800.graph.smt2,8476031
QF_IDL/parity/07.800.graph.smt2,8310961
QF_IDL/asp/WireRouting/wire.15.x.15.b.2.a.25_sat.data.smt2,8268204
QF_IDL/parity/17.800.graph.smt2,8244774
QF_IDL/parity/30.800.graph.smt2,8189268
QF_IDL/parity/31.800.graph.smt2,8164307
QF_IDL/parity/29.800.graph.smt2,8082236
QF_IDL/parity/02.800.graph.smt2,7949171
QF_IDL/parity/14.800.graph.smt2,7730376
QF_IDL/parity/01.800.graph.smt2,7701085
QF_IDL/parity/26.800.graph.smt2,7512252
QF_IDL/asp/WireRouting/wire.15.x.15.b.11.25.a.45_sat.data.smt2,7447396
QF_IDL/parity/15.800.graph.smt2,7368723
QF_IDL/parity/21.800.graph.smt2,7314962
QF_IDL/parity/28.700.graph.smt2,7265501
QF_IDL/asp/KnightTour/knightTour.in07.smt2,7129888
QF_IDL/20210312-Bouvier/vlsat3_i98.smt2,6961844
QF_IDL/parity/29.700.graph.smt2,6878582
QF_IDL/parity/04.700.graph.smt2,6865794
QF_IDL/parity/18.800.graph.smt2,6822145
QF_IDL/asp/Hanoi/mgs_towers-hanoi.120_7.smt2,6766789
QF_IDL/parity/16.700.graph.smt2,6668037
QF_IDL/asp/WireRouting/wire.15.x.15.b.10.a.30_sat.data.smt2,6540908
QF_IDL/parity/09.700.graph.smt2,6533672
QF_IDL/parity/20.700.graph.smt2,6512899
QF_IDL/parity/01.700.graph.smt2,6228262
QF_IDL/parity/22.700.graph.smt2,6201841
QF_IDL/parity/18.700.graph.smt2,6199623
QF_IDL/parity/14.700.graph.smt2,6154707
QF_IDL/parity/21.700.graph.smt2,6122749
QF_IDL/parity/02.700.graph.smt2,6095714
QF_IDL/parity/27.700.graph.smt2,6017778
QF_IDL/parity/07.700.graph.smt2,5824322
QF_IDL/20210312-Bouvier/vlsat3_c87.smt2,5798866
QF_IDL/parity/26.700.graph.smt2,5780359
QF_IDL/20210312-Bouvier/vlsat3_i41.smt2,5738711
QF_IDL/asp/EdgeMatching/edge-matching-width=7-height=7-colours=14.smt2,5734407
QF_IDL/asp/Fastfood/a7.3.3.asp.smt2,5632381
QF_IDL/asp/Fastfood/a7.3.4.tweaked.5.asp.smt2,5632379
QF_IDL/asp/Fastfood/a7.3.0.tweaked.5.asp.smt2,5632379
QF_IDL/asp/Fastfood/a7.3.0.tweaked.3.asp.smt2,5632379
QF_IDL/asp/Fastfood/a7.3.5.tweaked.5.asp.smt2,5632379
QF_IDL/asp/Fastfood/a7.3.4.tweaked.4.asp.smt2,5632379
