path,size
UFLIA/simplify2/front_end_suite/javafe.tc.FlowInsensitiveChecks.006.smt2,425245
UFLIA/simplify2/front_end_suite/javafe.parser.ParseStmt.003.smt2,417982
UFLIA/simplify2/front_end_suite/javafe.ast.StandardPrettyPrint.005.smt2,379620
UFLIA/simplify2/small_suite/simplex.smt2,311156
UFLIA/simplify2/front_end_suite/javafe.parser.ParseExpr.009.smt2,292163
UFLIA/simplify2/front_end_suite/javafe.tc.FlowInsensitiveChecks.014.smt2,287831
UFLIA/simplify2/front_end_suite/javafe.ast.StandardPrettyPrint.017.smt2,267799
UFLIA/simplify2/front_end_suite/javafe.tc.FlowInsensitiveChecks.005.smt2,265143
UFLIA/grasshopper/instantiated/insert_postcondition_of_insert_56_4.smt2,260699
UFLIA/grasshopper/instantiated/difference_postcondition_of_difference_43_8.smt2,257653
UFLIA/simplify2/front_end_suite/javafe.ast.StandardPrettyPrint.006.smt2,252816
UFLIA/simplify2/front_end_suite/javafe.tc.FlowInsensitiveChecks.034.smt2,251962
UFLIA/simplify2/front_end_suite/javafe.tc.FlowInsensitiveChecks.026.smt2,251174
UFLIA/simplify2/front_end_suite/javafe.tc.FlowInsensitiveChecks.018.smt2,247553
UFLIA/simplify2/front_end_suite/javafe.tc.FlowInsensitiveChecks.023.smt2,245530
UFLIA/simplify2/front_end_suite/javafe.tc.FlowInsensitiveChecks.020.smt2,244614
UFLIA/simplify2/front_end_suite/javafe.tc.FlowInsensitiveChecks.011.smt2,244189
UFLIA/simplify2/front_end_suite/javafe.parser.ParseExpr.006.smt2,236473
UFLIA/simplify2/front_end_suite/javafe.parser.ParseExpr.002.smt2,235948
UFLIA/simplify2/front_end_suite/javafe.tc.CheckInvariants.004.smt2,233453
UFLIA/simplify2/front_end_suite/javafe.ast.StandardPrettyPrint.014.smt2,231828
UFLIA/simplify2/front_end_suite/javafe.parser.ParseStmt.007.smt2,230326
UFLIA/simplify2/front_end_suite/javafe.tc.CheckInvariants.001.smt2,229004
UFLIA/simplify2/front_end_suite/javafe.tc.PrepTypeDeclaration.017.smt2,228647
UFLIA/simplify/javafe.tc.CheckInvariants.634.smt2,227904
UFLIA/grasshopper/instantiated/difference_postcondition_of_difference_38_8.smt2,220916
UFLIA/simplify2/front_end_suite/javafe.parser.ParseStmt.004.smt2,220812
UFLIA/simplify2/front_end_suite/javafe.tc.PrepTypeDeclaration.016.smt2,220594
UFLIA/simplify2/front_end_suite/javafe.ast.StandardPrettyPrint.018.smt2,220015
UFLIA/simplify/javafe.tc.CheckInvariants.637.smt2,218156
UFLIA/simplify2/small_suite/frd-seek.smt2,215643
UFLIA/simplify2/front_end_suite/javafe.parser.test.TestExpr.003.smt2,213526
UFLIA/simplify2/front_end_suite/javafe.tc.FlowInsensitiveChecks.010.smt2,213061
UFLIA/simplify2/front_end_suite/javafe.tc.FlowInsensitiveChecks.009.smt2,209289
UFLIA/simplify2/front_end_suite/javafe.tc.FlowInsensitiveChecks.007.smt2,208491
UFLIA/simplify/javafe.parser.test.TestExpr.577.smt2,208033
UFLIA/simplify2/front_end_suite/javafe.parser.ParseStmt.008.smt2,207649
UFLIA/simplify2/front_end_suite/javafe.ast.StandardPrettyPrint.004.smt2,207189
UFLIA/simplify2/front_end_suite/javafe.tc.PrepTypeDeclaration.020.smt2,205295
UFLIA/simplify2/front_end_suite/javafe.ast.StandardPrettyPrint.020.smt2,203507
UFLIA/simplify2/front_end_suite/javafe.tc.CheckInvariants.005.smt2,203436
UFLIA/simplify2/front_end_suite/javafe.ast.StandardPrettyPrint.021.smt2,203106
UFLIA/simplify2/front_end_suite/javafe.tc.FlowInsensitiveChecks.008.smt2,202654
UFLIA/simplify2/front_end_suite/javafe.tc.Types.037.smt2,201330
UFLIA/simplify/javafe.tc.CheckInvariants.636.smt2,201149
UFLIA/simplify2/front_end_suite/javafe.parser.ParseStmt.009.smt2,200743
UFLIA/simplify2/front_end_suite/javafe.parser.ParseStmt.005.smt2,195023
UFLIA/simplify2/front_end_suite/javafe.parser.ParseExpr.003.smt2,191269
UFLIA/simplify2/front_end_suite/javafe.ast.StandardPrettyPrint.009.smt2,184759
UFLIA/simplify2/front_end_suite/javafe.parser.ParseExpr.012.smt2,184161
UFLIA/sexpr/SES.Sx.Beautify_System.String_notnull.smt2,182095
UFLIA/simplify2/front_end_suite/javafe.tc.Types.058.smt2,180663
UFLIA/simplify2/front_end_suite/javafe.tc.Types.033.smt2,177072
UFLIA/simplify/javafe.tc.PrepTypeDeclaration.706.smt2,176922
UFLIA/simplify2/front_end_suite/javafe.tc.TypeSig.037.smt2,173890
UFLIA/simplify2/front_end_suite/javafe.tc.PrepTypeDeclaration.011.smt2,171148
UFLIA/simplify2/front_end_suite/javafe.tc.Types.044.smt2,171128
UFLIA/simplify2/front_end_suite/javafe.parser.ParseExpr.007.smt2,170902
UFLIA/simplify2/front_end_suite/javafe.tc.PrepTypeDeclaration.010.smt2,169565
UFLIA/simplify/javafe.reader.ASTClassFileParser.589.smt2,165646
UFLIA/simplify2/front_end_suite/javafe.tc.FlowInsensitiveChecks.003.smt2,164831
UFLIA/simplify/javafe.tc.FlowInsensitiveChecks.680.smt2,162371
UFLIA/simplify2/front_end_suite/javafe.tc.PrepTypeDeclaration.009.smt2,161938
UFLIA/simplify/javafe.tc.FlowInsensitiveChecks.685.smt2,160942
UFLIA/simplify/javafe.tc.FlowInsensitiveChecks.687.smt2,160754
UFLIA/simplify2/small_suite/getRootInterface.smt2,160601
UFLIA/simplify/javafe.tc.FlowInsensitiveChecks.682.smt2,160471
UFLIA/simplify2/front_end_suite/javafe.tc.FlowInsensitiveChecks.004.smt2,159894
UFLIA/simplify/javafe.tc.SLResolution.712.smt2,159138
UFLIA/simplify/javafe.ast.StandardPrettyPrint.318.smt2,159126
UFLIA/simplify2/front_end_suite/javafe.tc.TypeSig.038.smt2,158845
UFLIA/simplify2/front_end_suite/javafe.parser.test.TestLex.033.smt2,158647
UFLIA/simplify2/front_end_suite/javafe.tc.TypeSig.046.smt2,158026
UFLIA/simplify2/front_end_suite/javafe.tc.TypeSig.042.smt2,156544
UFLIA/simplify2/front_end_suite/javafe.tc.TypeSig.026.smt2,156421
UFLIA/simplify2/front_end_suite/javafe.PrintSpec.014.smt2,156183
UFLIA/simplify2/front_end_suite/javafe.tc.Env.005.smt2,156127
UFLIA/sexpr/SES.PrettySx.PeekToken_System.IO.TextReader_notnull_System.String.ptr.smt2,155292
UFLIA/simplify/javafe.tc.FlowInsensitiveChecks.686.smt2,155023
UFLIA/simplify2/front_end_suite/javafe.parser.test.TestLex.017.smt2,154736
UFLIA/simplify2/front_end_suite/javafe.parser.test.TestLex.025.smt2,154635
UFLIA/simplify/javafe.tc.TypeCheck.715.smt2,153086
UFLIA/simplify2/front_end_suite/javafe.tc.PrepTypeDeclaration.008.smt2,152683
UFLIA/simplify2/front_end_suite/javafe.tc.TypeSig.043.smt2,152148
UFLIA/simplify2/front_end_suite/javafe.tc.TypeSig.041.smt2,151762
UFLIA/sexpr/SES.PrettySx.Read_System.IO.TextReader_notnull.smt2,150061
UFLIA/simplify2/small_suite/fastclose.smt2,148408
UFLIA/simplify/javafe.tc.Env.649.smt2,148114
UFLIA/simplify2/front_end_suite/javafe.parser.test.TestExpr.002.smt2,147855
UFLIA/simplify2/front_end_suite/javafe.ast.MethodDecl.005.smt2,147573
UFLIA/simplify2/front_end_suite/javafe.ast.ClassDecl.006.smt2,147449
UFLIA/simplify2/front_end_suite/javafe.tc.TypeSig.034.smt2,147001
UFLIA/simplify/javafe.tc.FlowInsensitiveChecks.684.smt2,146982
UFLIA/simplify2/front_end_suite/javafe.reader.ASTClassFileParser.023.smt2,146177
UFLIA/simplify2/front_end_suite/javafe.tc.TypeSig.003.smt2,144905
UFLIA/simplify2/front_end_suite/javafe.tc.Types.053.smt2,144679
UFLIA/simplify2/front_end_suite/javafe.tc.ConstantExpr.012.smt2,144374
UFLIA/simplify2/front_end_suite/javafe.tc.PrepTypeDeclaration.001.smt2,143860
UFLIA/simplify2/front_end_suite/javafe.tc.TypeSig.036.smt2,143759
UFLIA/simplify2/front_end_suite/javafe.tc.ConstantExpr.011.smt2,143427
UFLIA/simplify2/front_end_suite/javafe.parser.ParseStmt.002.smt2,143376
