logic,feature_source,training_time_seconds,model_file,perf_csv,feature_csv
abv,embeddings,1.2100,abv_embeddings_model.joblib,abv_train.csv,abv_description_embeddings.csv
abv,embeddings_combined,1.1747,abv_embeddings_combined_model.joblib,abv_train.csv,abv_description_with_features_embeddings.csv
abv,features,0.6186,abv_features_model.joblib,abv_train.csv,abv_features_filtered.csv
abv,features_embeddings,1.0256,abv_features_embeddings_model.joblib,abv_train.csv,abv_feat+emb.csv
alia,embeddings,0.9433,alia_embeddings_model.joblib,alia_train.csv,alia_description_embeddings.csv
alia,embeddings_combined,0.9334,alia_embeddings_combined_model.joblib,alia_train.csv,alia_description_with_features_embeddings.csv
alia,features,0.5902,alia_features_model.joblib,alia_train.csv,alia_features_filtered.csv
alia,features_embeddings,0.8504,alia_features_embeddings_model.joblib,alia_train.csv,alia_feat+emb.csv
bv,embeddings,0.9600,bv_embeddings_model.joblib,bv_train.csv,bv_description_embeddings.csv
bv,embeddings_combined,0.9130,bv_embeddings_combined_model.joblib,bv_train.csv,bv_description_with_features_embeddings.csv
bv,features,0.5931,bv_features_model.joblib,bv_train.csv,bv_features_filtered.csv
bv,features_embeddings,0.8903,bv_features_embeddings_model.joblib,bv_train.csv,bv_feat+emb.csv
qf_idl,embeddings,1.0415,qf_idl_embeddings_model.joblib,qf_idl_train.csv,qf_idl_description_embeddings.csv
qf_idl,embeddings_combined,1.0461,qf_idl_embeddings_combined_model.joblib,qf_idl_train.csv,qf_idl_description_with_features_embeddings.csv
qf_idl,features,0.6332,qf_idl_features_model.joblib,qf_idl_train.csv,qf_idl_features_filtered.csv
qf_idl,features_embeddings,1.0587,qf_idl_features_embeddings_model.joblib,qf_idl_train.csv,qf_idl_feat+emb.csv
qf_lia,embeddings,10.3656,qf_lia_embeddings_model.joblib,qf_lia_train.csv,qf_lia_description_embeddings.csv
qf_lia,embeddings_combined,9.4540,qf_lia_embeddings_combined_model.joblib,qf_lia_train.csv,qf_lia_description_with_features_embeddings.csv
qf_lia,features,2.1763,qf_lia_features_model.joblib,qf_lia_train.csv,qf_lia_features_filtered.csv
qf_lia,features_embeddings,11.6650,qf_lia_features_embeddings_model.joblib,qf_lia_train.csv,qf_lia_feat+emb.csv
qf_lra,embeddings,0.8775,qf_lra_embeddings_model.joblib,qf_lra_train.csv,qf_lra_description_embeddings.csv
qf_lra,embeddings_combined,0.8478,qf_lra_embeddings_combined_model.joblib,qf_lra_train.csv,qf_lra_description_with_features_embeddings.csv
qf_lra,features,0.6041,qf_lra_features_model.joblib,qf_lra_train.csv,qf_lra_features_filtered.csv
